dataset,model,K,alternative,eligible_queries,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass
wands,minilm,20,C1,308,211,57,0.185064935064935,0.2701421800947867,308,211,0.0170597378399219,0.0430626478201507,0.0341194756798439
wands,minilm,20,C2s1,308,207,52,0.1688311688311688,0.251207729468599,308,207,0.0190995457231502,0.0285899631480117,0.0381990914463005
wands,minilm,20,C2s2,308,198,60,0.1948051948051948,0.303030303030303,308,198,0.0143102064700426,0.0256986760326396,0.0286204129400852
wands,minilm,20,C2s3,308,195,59,0.1915584415584415,0.3025641025641025,308,195,0.0105108053213156,0.0351386879724621,0.0210216106426312
wands,minilm,20,C2s4,308,196,64,0.2077922077922078,0.3265306122448979,308,196,0.0169390414063301,0.0272336017561278,0.0338780828126602
wands,minilm,20,C2s5,308,202,67,0.2175324675324675,0.3316831683168317,308,202,0.0165216146813433,0.0284132263977467,0.0330432293626867
wands,minilm,100,C1,308,199,21,0.0681818181818181,0.1055276381909547,308,199,0.017111834177296,0.0413555121504927,0.0342236683545921
wands,minilm,100,C2s1,308,193,32,0.1038961038961039,0.1658031088082901,308,193,0.0135340819867435,0.0251709700684734,0.0270681639734871
wands,minilm,100,C2s2,308,196,30,0.0974025974025974,0.1530612244897959,308,196,0.0154480602947427,0.0276656497264057,0.0308961205894854
wands,minilm,100,C2s3,308,193,22,0.0714285714285714,0.1139896373056994,308,193,0.0161485540178369,0.0298575998921237,0.0322971080356738
wands,minilm,100,C2s4,308,193,39,0.1266233766233766,0.2020725388601036,308,193,0.0135402930846982,0.0214050957170077,0.0270805861693965
wands,minilm,100,C2s5,308,192,22,0.0714285714285714,0.1145833333333333,308,192,0.0149976746331192,0.0342560513531919,0.0299953492662385
wands,bge_base,20,C1,308,187,73,0.237012987012987,0.3903743315508021,308,187,0.0082936402104244,0.0073543612671944,0.0147087225343889
wands,bge_base,20,C2s1,308,179,78,0.2532467532467532,0.435754189944134,308,179,0.0088628266500187,0.0079470485183998,0.0158940970367996
wands,bge_base,20,C2s2,308,184,78,0.2532467532467532,0.4239130434782608,308,184,0.009187001302907,0.0089950630774178,0.0179901261548356
wands,bge_base,20,C2s3,308,181,68,0.2207792207792207,0.3756906077348066,308,181,0.0091365850279661,0.007694868821546,0.015389737643092
wands,bge_base,20,C2s4,308,182,69,0.224025974025974,0.3791208791208791,308,182,0.0065670997424597,0.0111950428830091,0.0131341994849195
wands,bge_base,20,C2s5,308,182,67,0.2175324675324675,0.3681318681318681,308,182,0.0079937058676407,0.0115168498790416,0.0159874117352815
wands,bge_base,100,C1,308,168,25,0.0811688311688311,0.1488095238095238,308,168,0.018056925792419,0.019765815916671,0.036113851584838
wands,bge_base,100,C2s1,308,159,30,0.0974025974025974,0.1886792452830188,308,159,0.0202021647413631,0.0102449071369218,0.0204898142738436
