product_id,distinct_full_family_texts,distinct_old_seven_texts,dataset
0061962791,2,2,esci
0061992275,2,2,esci
006241416X,1,1,esci
0062675249,1,1,esci
0062691198,1,1,esci
0064402509,2,2,esci
0156028727,2,2,esci
0300198914,1,1,esci
0306818892,1,1,esci
0307236382,2,2,esci
0307465381,2,2,esci
0310293995,1,1,esci
0316522880,1,1,esci
0316926159,1,1,esci
035812185X,2,2,esci
0358206359,1,1,esci
0358353920,1,1,esci
0385345623,6,6,esci
0465060889,2,2,esci
0470080590,1,1,esci
0471497045,1,1,esci
0520295625,1,1,esci
0525564322,2,2,esci
0544569822,1,1,esci
054501218X,2,2,esci
0593187989,2,2,esci
0618980652,2,2,esci
0718084225,2,2,esci
0735219095,6,4,esci
0735224315,2,2,esci
0736960562,1,1,esci
0760327785,1,1,esci
0760733996,1,1,esci
0761129588,1,1,esci
0761152121,2,2,esci
0761181504,3,2,esci
076245234X,1,1,esci
0800795423,2,2,esci
0806154063,1,1,esci
0807019291,2,2,esci
0809016060,2,2,esci
0809236338,1,1,esci
0848734084,2,2,esci
0848749502,2,2,esci
0873415841,2,2,esci
0873495640,1,1,esci
0971919321,1,1,esci
0997487151,1,1,esci
1078247366,1,1,esci
109406906X,1,1,esci
1095966022,1,1,esci
1097910067,1,1,esci
1101904216,2,2,esci
1101971061,2,2,esci
1101994878,2,2,esci
1118066758,2,2,esci
1118067843,1,1,esci
111806786X,1,1,esci
1119278074,1,1,esci
1250154545,1,1,esci
1250269555,1,1,esci
1250317460,1,1,esci
1285194799,1,1,esci
1285194802,1,1,esci
1285194810,1,1,esci
1302907395,1,1,esci
1305251423,1,1,esci
1305251431,1,1,esci
1328911128,1,1,esci
1338538195,1,1,esci
1400075327,6,4,esci
1402750641,1,1,esci
1416980083,2,2,esci
1423145844,1,1,esci
142621555X,2,2,esci
1430040270,1,1,esci
143006286X,1,1,esci
1430062878,1,1,esci
1442426624,2,2,esci
1442498595,2,2,esci
1451645856,1,1,esci
1471144585,2,2,esci
1471172090,1,1,esci
1476743800,1,1,esci
1476753830,2,2,esci
1481457047,2,2,esci
1481479202,1,1,esci
1492663999,1,1,esci
1493042106,1,1,esci
1496441680,1,1,esci
1501143905,2,2,esci
1501154656,2,2,esci
150670834X,2,2,esci
1515159914,1,1,esci
1524700517,2,2,esci
1524762156,2,2,esci
153442458X,1,1,esci
1534424598,1,1,esci
1535924195,1,1,esci
1538714663,1,1,esci
1538729423,1,1,esci
1584656948,2,2,esci
1591502241,2,2,esci
1591504260,1,1,esci
159285849X,2,2,esci
1595553673,2,2,esci
1596176040,6,3,esci
1596360291,2,2,esci
1601060726,6,5,esci
1601064527,6,5,esci
1619922827,2,2,esci
1619922835,2,2,esci
161992286X,6,3,esci
1628627557,1,1,esci
1631523910,1,1,esci
1631597698,1,1,esci
1641525444,1,1,esci
1643075608,1,1,esci
1644280264,1,1,esci
1645670449,1,1,esci
1646115953,1,1,esci
1646118944,1,1,esci
1648765653,1,1,esci
164876665X,1,1,esci
1657991652,1,1,esci
1680522116,1,1,esci
1692602403,1,1,esci
1697425836,1,1,esci
1706559119,1,1,esci
173087598X,1,1,esci
1732603014,1,1,esci
1732997403,1,1,esci
1775047008,1,1,esci
1786274833,1,1,esci
1786818248,1,1,esci
1793189536,1,1,esci
179896998X,1,1,esci
1864708395,1,1,esci
187870401X,1,1,esci
1935414283,6,4,esci
1937870286,1,1,esci
1939754119,1,1,esci
193975416X,1,1,esci
1939754445,1,1,esci
1939754666,1,1,esci
1940358361,1,1,esci
1942915551,1,1,esci
1944515801,6,4,esci
1950785041,2,2,esci
1951161068,1,1,esci
1952639530,1,1,esci
1973960524,1,1,esci
1982141468,1,1,esci
198482662X,2,2,esci
1984896849,2,2,esci
6200080941,1,1,esci
6306983260,1,1,esci
7540492880,1,1,esci
7558410223,1,1,esci
8427210132,1,1,esci
966652046X,6,4,esci
B00002267Z,6,4,esci
B00004RADH,2,2,esci
B00004S7YS,6,5,esci
B00004SAF4,6,5,esci
B00004SGF9,6,3,esci
B00004SGFT,6,4,esci
B00004SGFU,6,5,esci
B00005RT2X,1,1,esci
B00006I5XC,6,4,esci
B00006JN3G,6,5,esci
B000094G4K,6,5,esci
B0000AXZSU,6,5,esci
B0000BYPKR,6,4,esci
B0000CBITW,2,2,esci
B0000D8EJV,6,5,esci
B0000DE77D,6,3,esci
B0000VM8DG,6,4,esci
B0000WS0SC,6,5,esci
B000165IKU,1,1,esci
B00016RL9G,6,4,esci
B0001ITUTS,2,2,esci
B0001IX3N2,6,4,esci
B0001VNZDW,6,3,esci
B0001VNZQY,6,4,esci
B00022W4ZU,6,5,esci
B0002567H8,2,2,esci
B00025YSB0,6,6,esci
B0002DHPE4,6,5,esci
B0002IES80,6,4,esci
B0002YPZKY,6,4,esci
B0006I0HJ0,6,4,esci
B00079WOXK,2,2,esci
B0007MZWQS,6,5,esci
B0007Q3RQ6,6,5,esci
B00097D2K4,6,5,esci
B0009I4MKW,2,2,esci
B000A88L9E,2,2,esci
B000ACHX1C,6,3,esci
B000AMUWLK,6,3,esci
B000AO3GES,2,2,esci
B000AO9PCU,2,2,esci
B000BPRDCW,6,3,esci
B000C9GJ2C,2,2,esci
B000C9GRIS,2,2,esci
B000C9HZ3E,2,2,esci
B000C9I6BO,2,2,esci
B000C9I77C,2,2,esci
B000C9I8GW,2,2,esci
B000C9JZQ4,2,2,esci
B000C9K0PO,2,2,esci
B000C9RVHY,2,2,esci
B000E1FFFK,1,1,esci
B000E1U230,6,5,esci
B000E28UQU,2,2,esci
B000EDSET2,6,4,esci
B000EF3YQI,2,2,esci
B000EIMPPQ,6,3,esci
B000ELX3CM,6,3,esci
B000EPYCV4,6,6,esci
B000ETRDMA,2,2,esci
B000F2DE8S,6,4,esci
B000FGRZL6,6,4,esci
B000FGTO1K,2,2,esci
B000FMYGIK,6,4,esci
B000FNCXU2,6,4,esci
B000FRWJNE,6,4,esci
B000FZRYPO,2,2,esci
B000GOTKJW,1,1,esci
B000H8BEDC,6,5,esci
