model,query_id,product_id,state,max_tokens_seven,attribute_count,rank_span,selection_hash,selected
minilm,2,3276,crossing,217,14,16,02136fab4e70bacfbb9447d397bcf05c74267641ab41ba11b794cc6eb04a76a4,True
minilm,111,10165,crossing,172,18,20,024a9b4083f4d67c8941e8ef8274503fe9ebf1184c5bceb891465fffc42def7f,True
minilm,86,41495,crossing,200,23,27,062fdc287ed9c3e871e8c972a6ec5532bfd98a03b297b1b7c74abdfa6f8119e5,True
minilm,245,4394,crossing,244,12,9,074650fbac3a8ace8e29b5f160bcb9a6245de8d93ec1642844d9c4bd1172ddea,True
minilm,7,14226,crossing,252,32,89,07d69aac9672e4c56e39479315ff32ac87f919494ba9ce12988788ed98749bbc,False
minilm,175,4320,crossing,195,22,22,0997c00519ac86f7319ad119f660ac91689e809d8b6a854b8037579dc8088974,False
minilm,472,32440,crossing,256,25,74,0fa272bd5b627dcd9d3f81d8c48705c6251b72f850b8523d12a5ad995672f8e1,False
minilm,227,3731,crossing,208,22,15,11d9c8a9dc4d8e521a6c0eb62548f65f3d4cf8225c29856e5f53ca635168c269,False
minilm,234,2511,crossing,176,17,25,16040529690ceb597e2db38060b76a11b7caf1e44ef945baaaff3b2cad4085e8,False
minilm,227,30273,crossing,196,17,11,165e8858db6f97f899acf164499645f23a952210a4a6610b5751f5456a441ac6,False
minilm,352,524,crossing,252,28,21,16aee562ed2596259889c1526b5be3e5915785856f14dfab8f30d1a7321e0508,False
minilm,359,12559,crossing,168,12,65,18d6f1e87845e8d70225268ae9bcdf859d22eba50031dcf0b110a3402a1a87be,False
minilm,111,10197,crossing,124,13,6,194aa56935db37e5681ea5cd3b967337801772091d7ea3f66f856207cbf44166,False
minilm,245,11168,crossing,210,25,10,1abe241546eab0b52e9541769c44770cfc813ce9baaf295ffeabb8861fbab571,False
minilm,234,4689,crossing,232,21,27,1dc18162096aa9b783730e19cc4774164e8debf0b3b238885b77c540247578de,False
minilm,13,41426,crossing,223,16,14,1e1f67c8ab03d767e44a8523b728ecd52d8b49b9b8278d22d6ff4abb4f160f30,False
minilm,230,36428,crossing,239,30,32,1e682420bfbb8d79f1b8c7e896a219e21029925aa53cb52e8a2990775bf6810f,False
