dataset,model,support,family,K,aggregation,metric,mean,ci_low,ci_high,queries,pairs,distinct_texts_mean,bootstrap_seed,bootstrap_draws,intervention,not_coherent_catalog_recall
wands,minilm,full,7,20,query_macro,persistent_inclusion,0.1982339372026987,0.1453452476077025,0.2538632087761236,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,VI,0.2084885543095825,0.1684804669061804,0.252948524973181,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,persistent_omission,0.5932775084877187,0.5339663595728141,0.6509877204521113,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,query_macro,tested_order_inclusion_frequency,0.2868847373930214,0.2345529519410275,0.3415053754031371,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,persistent_inclusion,0.0529122807017543,0.0360674281933404,0.0775487059282897,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,VI,0.1232280701754386,0.100820514346551,0.1536781898391404,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,persistent_omission,0.8238596491228071,0.7722589538703591,0.8605356984193163,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,20,pair_micro,tested_order_inclusion_frequency,0.1017744360902255,0.0766055502238881,0.1380057278619569,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,persistent_inclusion,0.4363332292221696,0.3724742968440758,0.4996981322408816,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,VI,0.2330250437349881,0.1950749227169944,0.2740530546741896,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,persistent_omission,0.3306417270428422,0.2743718836791323,0.390746075122224,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,query_macro,tested_order_inclusion_frequency,0.5572196675196617,0.4968404811646473,0.6150790298650497,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,persistent_inclusion,0.2193684210526315,0.1586858605125985,0.3060780347592871,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,VI,0.2321403508771929,0.202738965363898,0.2702670404911768,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,persistent_omission,0.5484912280701755,0.4422200823894129,0.6285781049659003,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,7,100,pair_micro,tested_order_inclusion_frequency,0.3264761904761904,0.2532481061721011,0.426466849605101,128,7125,6.992982456140351,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,persistent_inclusion,0.1843545966160872,0.1331023502979504,0.2386998234024636,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,VI,0.2449755689788526,0.2038967376917457,0.2896703050967893,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,persistent_omission,0.5706698344050603,0.5125023185470808,0.6275659670428575,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,query_macro,tested_order_inclusion_frequency,0.2855710152856426,0.2324767429703791,0.3406534696109699,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,persistent_inclusion,0.0446315789473684,0.0299095335591578,0.0664891254391755,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,VI,0.1622456140350877,0.1338080669264844,0.2005598057343333,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,persistent_omission,0.7931228070175439,0.7375166512800774,0.8333825456900544,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
wands,minilm,full,16,20,pair_micro,tested_order_inclusion_frequency,0.1018245614035087,0.0766331416215143,0.1383151375059101,128,7125,15.980491228070177,2026091701,10000,separate target-only counterfactuals,True
