dataset,model,product_id,max_abs_vector_error,cosine_distance,max_abs_query_score_error,historical_replaced
wands,bge_base,25814,0.0,0.0,0.0,False
wands,bge_base,4727,0.0,0.0,0.0,False
wands,bge_base,34387,0.0,0.0,0.0,False
wands,bge_base,20332,0.0,-1.1920928955078125e-07,0.0,False
wands,bge_base,37600,0.0,0.0,0.0,False
wands,bge_base,33208,0.0,0.0,0.0,False
wands,bge_base,28959,0.0,0.0,0.0,False
wands,bge_base,40289,0.0,0.0,0.0,False
wands,bge_base,22815,0.0,0.0,0.0,False
wands,bge_base,36493,0.0,0.0,0.0,False
wands,bge_base,38690,0.0,0.0,0.0,False
wands,bge_base,42421,0.0,0.0,0.0,False
wands,bge_base,12605,0.0,0.0,0.0,False
wands,bge_base,7373,0.0,0.0,0.0,False
wands,bge_base,16869,0.0,0.0,0.0,False
wands,bge_base,41611,0.0,0.0,0.0,False
esci,bge_base,B073ZRG3HK,0.0,0.0,0.0,False
esci,bge_base,B06Y1RBX7F,0.0,-1.1920928955078125e-07,0.0,False
esci,bge_base,B07VDCWMNZ,0.0,0.0,0.0,False
esci,bge_base,B01GP2Z7KY,0.0,0.0,0.0,False
esci,bge_base,B0114KCMF0,0.0,0.0,0.0,False
esci,bge_base,B01ARHG252,0.0,0.0,0.0,False
esci,bge_base,1101971061,0.00012440234422683716,4.172325134277344e-07,0.00013187527656555176,False
esci,bge_base,B07ZYP1RQC,0.0,0.0,0.0,False
esci,bge_base,0471497045,0.00012399256229400635,4.76837158203125e-07,9.143352508544922e-05,False
esci,bge_base,B01K6JFHRA,0.0,-1.1920928955078125e-07,0.0,False
esci,bge_base,B084RMQQ98,0.0,-1.1920928955078125e-07,0.0,False
esci,bge_base,B00JJLFS5S,0.0,0.0,0.0,False
esci,bge_base,B07RDP4JQT,0.0,0.0,0.0,False
esci,bge_base,B07C7PVP49,0.0,0.0,0.0,False
esci,bge_base,B07GD42541,0.0,0.0,0.0,False
esci,bge_base,B07MV8SWZF,0.0,0.0,0.0,False
