model,query_id,product_id,query,variant,schedule,display,native_saved_score,fresh_native_fp16_score,diagnostic_fp32_score,input_ids_score,input_ids_vs_embeds_error,diagnostic_native_error,fresh_fp16_native_error,native_rank,native_inclusion,diagnostic_inclusion,native_margin,margin_gt_five_errors,variant_boundary_guard,token_count,cap,model_attention_implementation,query_embedding_sha256,baseline,baseline_score,score_difference,attribution_sum,completeness_residual,completeness_tolerance,completeness_passed,steps,elapsed_seconds,status
minilm,2,3276,dinosaur,minimum,C2s1,supplement,0.4509788751602173,0.4509789049625397,0.4509756565093994,0.4509756565093994,0.0,3.2186508178710938e-06,2.9802322387695312e-08,32,False,False,-0.0228990912437438,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.0014094039797782898,0.4523850604891777,0.4523909294803161,5.8689911384135485e-06,0.0045238506048917776,True,64,1.203046599868685,passed
minilm,2,3276,dinosaur,minimum,C2s1,supplement,0.4509788751602173,0.4509789049625397,0.4509756565093994,0.4509756565093994,0.0,3.2186508178710938e-06,2.9802322387695312e-08,32,False,False,-0.0228990912437438,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.1745346039533615,0.2764410525560379,0.27643435160280205,-6.700953235849738e-06,0.002764410525560379,True,64,0.8331897999159992,passed
minilm,2,3276,dinosaur,maximum,C2s5,supplement,0.4778218269348144,0.47782185673713684,0.47785866260528564,0.47785866260528564,0.0,3.683567047124692e-05,2.9802322443206464e-08,16,True,True,0.0039438605308532,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.0014094039797782898,0.47926806658506393,0.47926803980226396,-2.678279997780919e-08,0.004792680665850639,True,64,0.9231775000225753,passed
minilm,2,3276,dinosaur,maximum,C2s5,supplement,0.4778218269348144,0.47782185673713684,0.47785866260528564,0.47785866260528564,0.0,3.683567047124692e-05,2.9802322443206464e-08,16,True,True,0.0039438605308532,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.1745346039533615,0.30332405865192413,0.3033218985365238,-2.1601154003292322e-06,0.0030332405865192416,True,64,0.7618671001400799,passed
minilm,111,10165,delta trinsic,minimum,C2s5,supplement,0.2907314002513885,0.2907313406467438,0.29059821367263794,0.29059821367263794,0.0,0.00013318657875055484,5.9604644719879474e-08,31,False,False,-0.0141433775424957,True,True,172,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.01261378824710846,0.3032120019197464,0.3032120263815159,2.4461769498884678e-08,0.003032120019197464,True,64,0.5621340998914093,passed
minilm,111,10165,delta trinsic,minimum,C2s5,supplement,0.2907314002513885,0.2907313406467438,0.29059821367263794,0.29059821367263794,0.0,0.00013318657875055484,5.9604644719879474e-08,31,False,False,-0.0141433775424957,True,True,172,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,-0.003403671085834503,0.29400188475847244,0.2939976947091054,-4.1900493670254946e-06,0.0029400188475847246,True,64,1.0448134997859597,passed
minilm,111,10165,delta trinsic,maximum,C0,supplement,0.3327493667602539,0.3327493369579315,0.33269551396369934,0.33269551396369934,0.0,5.385279655456543e-05,2.9802322387695312e-08,11,True,True,0.0278745889663696,True,True,172,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.01261378824710846,0.3453093022108078,0.3453035551792709,-5.747031536884606e-06,0.003453093022108078,True,64,0.5517967001069337,passed
minilm,111,10165,delta trinsic,maximum,C0,supplement,0.3327493667602539,0.3327493369579315,0.33269551396369934,0.33269551396369934,0.0,5.385279655456543e-05,2.9802322387695312e-08,11,True,True,0.0278745889663696,True,True,172,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,-0.003403671085834503,0.33609918504953384,0.336092368568643,-6.8164808908477426e-06,0.0033609918504953385,True,64,0.7410093999933451,passed
minilm,86,41495,aloe vera plant pot,minimum,C2s3,supplement,0.5584713220596313,0.5584713220596313,0.5586255788803101,0.5586255788803101,0.0,0.00015425682067871094,0.0,40,False,False,-0.0333859920501709,True,True,200,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,0.025485321879386902,0.5331402570009232,0.5331395247703767,-7.322305464185774e-07,0.0053314025700092315,True,64,0.9055390998255461,passed
minilm,86,41495,aloe vera plant pot,minimum,C2s3,supplement,0.5584713220596313,0.5584713220596313,0.5586255788803101,0.5586255788803101,0.0,0.00015425682067871094,0.0,40,False,False,-0.0333859920501709,True,True,200,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,-0.005393572151660919,0.564019151031971,0.5640073684699018,-1.1782562069129199e-05,0.00564019151031971,True,64,1.0547112999483943,passed
minilm,86,41495,aloe vera plant pot,maximum,C2s2,supplement,0.6165915131568909,0.6165915131568909,0.6166523098945618,0.6166523098945618,0.0,6.079673767089844e-05,0.0,13,True,True,0.0247341990470886,True,True,200,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,0.025485321879386902,0.5911669880151749,0.5911615352233639,-5.452791810967028e-06,0.005911669880151749,True,64,0.7140941000543535,passed
minilm,86,41495,aloe vera plant pot,maximum,C2s2,supplement,0.6165915131568909,0.6165915131568909,0.6166523098945618,0.6166523098945618,0.0,6.079673767089844e-05,0.0,13,True,True,0.0247341990470886,True,True,200,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,-0.005393572151660919,0.6220458820462227,0.6220473911525914,1.5091063687577844e-06,0.006220458820462227,True,64,0.9098781999200583,passed
minilm,245,4394,anchor decor,minimum,C2s3,supplement,0.5764983892440796,0.5765798687934875,0.5764586925506592,0.5764586925506592,0.0,3.9696693420410156e-05,8.147954940795898e-05,23,False,False,-0.005125880241394,True,True,244,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.07754182070493698,0.6540005132555962,0.6540030103642493,2.4971086531877518e-06,0.006540005132555962,True,64,0.9352469998411834,passed
minilm,245,4394,anchor decor,minimum,C2s3,supplement,0.5764983892440796,0.5765798687934875,0.5764586925506592,0.5764586925506592,0.0,3.9696693420410156e-05,8.147954940795898e-05,23,False,False,-0.005125880241394,True,True,244,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.13705044984817505,0.43940824270248413,0.4394109995046165,2.7568021323531866e-06,0.004394082427024841,True,64,1.0641962999943644,passed
minilm,245,4394,anchor decor,maximum,C2s2,supplement,0.6182194948196411,0.6181563138961792,0.6181706190109253,0.6181706190109253,0.0,4.887580871582031e-05,6.318092346191406e-05,14,True,True,0.0365952253341674,True,True,244,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.07754182070493698,0.6957124397158623,0.6957073825033149,-5.057212547399104e-06,0.006957124397158623,True,64,0.8170234998688102,passed
minilm,245,4394,anchor decor,maximum,C2s2,supplement,0.6182194948196411,0.6181563138961792,0.6181706190109253,0.6181706190109253,0.0,4.887580871582031e-05,6.318092346191406e-05,14,True,True,0.0365952253341674,True,True,244,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.13705044984817505,0.48112016916275024,0.4810943834600039,-2.5785702746361494e-05,0.004811201691627503,True,64,1.1013734999578446,passed
minilm,160,8066,marble,minimum,C2s2,supplement,0.5538278222084045,0.553817629814148,0.553838312625885,0.553838312625885,0.0,1.049041748046875e-05,1.0192394256591797e-05,3,True,True,0.0630189776420593,True,True,226,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.0616893395781517,0.6155276522040367,0.6154924487927929,-3.520341124385595e-05,0.006155276522040367,True,64,0.8901846001390368,passed
minilm,160,8066,marble,minimum,C2s2,supplement,0.5538278222084045,0.553817629814148,0.553838312625885,0.553838312625885,0.0,1.049041748046875e-05,1.0192394256591797e-05,3,True,True,0.0630189776420593,True,True,226,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.1302812397480011,0.4235570728778839,0.4235588147712406,1.741893356665969e-06,0.0042355707287788395,True,64,0.7830578000284731,passed
minilm,160,8066,marble,maximum,C2s3,supplement,0.5810390710830688,0.5810331106185913,0.5810271501541138,0.5810271501541138,0.0,1.1920928955078125e-05,5.9604644775390625e-06,1,True,True,0.0902302265167236,True,True,226,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.0616893395781517,0.6427164897322655,0.6426536825747462,-6.280715751927346e-05,0.0064271648973226545,True,64,0.98028580006212,passed
minilm,160,8066,marble,maximum,C2s3,supplement,0.5810390710830688,0.5810331106185913,0.5810271501541138,0.5810271501541138,0.0,1.1920928955078125e-05,5.9604644775390625e-06,1,True,True,0.0902302265167236,True,True,226,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.1302812397480011,0.45074591040611267,0.4507436454805429,-2.2649255697615445e-06,0.004507459104061127,True,64,0.7860953998751938,passed
minilm,333,22324,stainless steel colander set,minimum,C2s3,supplement,0.6968502998352051,0.6968504190444946,0.6969733238220215,0.6969733238220215,0.0,0.00012302398681640625,1.1920928955078125e-07,8,True,True,0.024590253829956,True,True,192,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.09421498328447342,0.7911883071064949,0.7911758098198334,-1.2497286661528051e-05,0.007911883071064949,True,64,0.8700849001761526,passed
minilm,333,22324,stainless steel colander set,minimum,C2s3,supplement,0.6968502998352051,0.6968504190444946,0.6969733238220215,0.6969733238220215,0.0,0.00012302398681640625,1.1920928955078125e-07,8,True,True,0.024590253829956,True,True,192,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.004483526572585106,0.6924897972494364,0.692495033457817,5.23620838066563e-06,0.006924897972494364,True,64,0.5716352998279035,passed
minilm,333,22324,stainless steel colander set,maximum,C2s5,supplement,0.7164050340652466,0.7164049744606018,0.7164670825004578,0.7164670825004578,0.0,6.204843521118164e-05,5.960464477539063e-08,6,True,True,0.0441449880599975,True,True,192,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.09421498328447342,0.8106820657849312,0.8106808983138762,-1.1674710549414158e-06,0.008106820657849312,True,64,1.0615902999415994,passed
minilm,333,22324,stainless steel colander set,maximum,C2s5,supplement,0.7164050340652466,0.7164049744606018,0.7164670825004578,0.7164670825004578,0.0,6.204843521118164e-05,5.960464477539063e-08,6,True,True,0.0441449880599975,True,True,192,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.004483526572585106,0.7119835559278727,0.7119835376142873,-1.8313585314899683e-08,0.007119835559278726,True,64,0.7078677001409233,passed
minilm,415,32674,toilet paper stand,minimum,C1,supplement,0.6971516013145447,0.6971515417098999,0.6971844434738159,0.6971844434738159,0.0,3.2842159271240234e-05,5.960464477539063e-08,19,True,True,0.0010761618614196,True,True,207,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.11804129183292389,0.8152257353067398,0.81522572292306,-1.2383679859340191e-08,0.008152257353067398,True,64,0.8743628000374883,passed
minilm,415,32674,toilet paper stand,minimum,C1,supplement,0.6971516013145447,0.6971515417098999,0.6971844434738159,0.6971844434738159,0.0,3.2842159271240234e-05,5.960464477539063e-08,19,True,True,0.0010761618614196,True,True,207,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.07975700497627258,0.6174274384975433,0.6174300241254969,2.5856279535219073e-06,0.006174274384975434,True,64,0.7136212999466807,passed
minilm,415,32674,toilet paper stand,maximum,C2s4,supplement,0.7112526893615723,0.711252748966217,0.711320161819458,0.711320161819458,0.0,6.747245788574219e-05,5.960464477539063e-08,12,True,True,0.0151772499084472,True,True,207,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.11804129183292389,0.8293614536523819,0.8293638093018671,2.3556494852527976e-06,0.00829361453652382,True,64,0.7069695999380201,passed
minilm,415,32674,toilet paper stand,maximum,C2s4,supplement,0.7112526893615723,0.711252748966217,0.711320161819458,0.711320161819458,0.0,6.747245788574219e-05,5.960464477539063e-08,12,True,True,0.0151772499084472,True,True,207,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.07975700497627258,0.6315631568431854,0.631564331757545,1.1749143595807254e-06,0.006315631568431854,True,64,0.776744200149551,passed
minilm,446,27022,card table,minimum,C2s1,supplement,0.5786164999008179,0.5786164999008179,0.5786285400390625,0.5786285400390625,0.0,1.2040138244628906e-05,0.0,18,True,True,0.0087788701057434,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,0.018023887649178505,0.560604652389884,0.5606609040114563,5.625162157230079e-05,0.00560604652389884,True,64,0.739722000202164,passed
minilm,446,27022,card table,minimum,C2s1,supplement,0.5786164999008179,0.5786164999008179,0.5786285400390625,0.5786285400390625,0.0,1.2040138244628906e-05,0.0,18,True,True,0.0087788701057434,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.07210767269134521,0.5065208673477173,0.5065204001948587,-4.6715285861864686e-07,0.005065208673477173,True,64,0.8674182998947799,passed
minilm,446,27022,card table,maximum,C2s4,supplement,0.642279326915741,0.6422792673110962,0.6422391533851624,0.6422391533851624,0.0,4.017353057861328e-05,5.960464477539063e-08,7,True,True,0.0724416971206665,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,0.018023887649178505,0.6242152657359838,0.6242193898069672,4.124070983380079e-06,0.006242152657359838,True,64,0.8659965998958796,passed
minilm,446,27022,card table,maximum,C2s4,supplement,0.642279326915741,0.6422792673110962,0.6422391533851624,0.6422391533851624,0.0,4.017353057861328e-05,5.960464477539063e-08,7,True,True,0.0724416971206665,True,True,217,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,pad,0.07210767269134521,0.5701314806938171,0.5701300136570353,-1.4670367818325758e-06,0.0057013148069381715,True,64,0.8139656998682767,passed
minilm,28,35834,rooster decor,minimum,C1,supplement,0.5925700068473816,0.5925699472427368,0.5925952196121216,0.5925952196121216,0.0,2.5212764739990234e-05,5.960464477539063e-08,84,False,False,-0.0776925683021545,True,True,220,256,sdpa,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,zero,-0.050347380340099335,0.6429425999522209,0.6429426684771897,6.85249688103795e-08,0.00642942599952221,True,64,0.9595772000029683,passed
