dataset,model,family,rule,K,aggregation,reference_state,control_state,cell_fraction,ci_low,ci_high,eligible_queries,highest_pairs,cell_pairs,reference_state_pairs,queries_with_reference_state,conditional_inclusion,conditional_ci_low,conditional_ci_high,conditional_weighting,bootstrap_seed,bootstrap_draws,interval
wands,minilm,dense,lexical_ascending,20,query_macro,persistent_inclusion,included,0.20718356724079665,0.1736027930668993,0.24261800746847037,308,21299,1113,1148,228,0.9889308120707537,0.9830329623433743,0.9936767995832843,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,query_macro,persistent_inclusion,omitted,0.0023190235491176007,0.0013631397219552143,0.0034537251693302976,308,21299,35,1148,228,0.9889308120707537,0.9830329623433743,0.9936767995832843,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,query_macro,crossing,included,0.07573054093042722,0.06208966126986666,0.09127687109859296,308,21299,1047,2763,239,0.38678719146775503,0.32960225060022946,0.4462188462295829,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,query_macro,crossing,omitted,0.1200632769647567,0.1026397654245345,0.13926615690415306,308,21299,1716,2763,239,0.38678719146775503,0.32960225060022946,0.4462188462295829,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,query_macro,persistent_omission,included,0.004312776422478035,0.0029652190561007146,0.0058687229594660785,308,21299,91,17388,257,0.007251976422308796,0.004975751007928617,0.009951974430883486,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,query_macro,persistent_omission,omitted,0.5903908148924238,0.5518554084245265,0.627701763986784,308,21299,17297,17388,257,0.007251976422308796,0.004975751007928617,0.009951974430883486,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,persistent_inclusion,included,0.05225597445889479,0.0421131750271135,0.06507340927940555,308,21299,1113,1148,228,0.9695121951219512,0.9590786797430372,0.9790794979079498,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,persistent_inclusion,omitted,0.001643269637072163,0.0010946599362574474,0.002296670196273821,308,21299,35,1148,228,0.9695121951219512,0.9590786797430372,0.9790794979079498,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,crossing,included,0.049157237428987276,0.04186334404606583,0.05806843355475788,308,21299,1047,2763,239,0.3789359391965255,0.3598589205083695,0.39883465073035484,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,crossing,omitted,0.0805671627775952,0.07143138177923952,0.09138519830742266,308,21299,1716,2763,239,0.3789359391965255,0.3598589205083695,0.39883465073035484,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,persistent_omission,included,0.0042725010563876235,0.003373683210312226,0.005334720906838881,308,21299,91,17388,257,0.005233494363929146,0.004092280940240879,0.006674576271060337,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,20,pair_micro,persistent_omission,omitted,0.8121038546410629,0.7818749729070507,0.8371354534932058,308,21299,17297,17388,257,0.005233494363929146,0.004092280940240879,0.006674576271060337,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,persistent_inclusion,included,0.44822626270568244,0.40794227692203106,0.4910709143001843,308,21299,4801,4915,269,0.9927253334808281,0.9901068895895364,0.9949544873004635,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,persistent_inclusion,omitted,0.0032845908896929994,0.0023194440714501756,0.004373458636995999,308,21299,114,4915,269,0.9927253334808281,0.9901068895895364,0.9949544873004635,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,crossing,included,0.10856470273701242,0.09454280244015924,0.12424423091916965,308,21299,2313,5193,229,0.49586854470148206,0.450806718815698,0.5407152679279001,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,crossing,omitted,0.11037377177818297,0.09583268584454323,0.12582098693625046,308,21299,2880,5193,229,0.49586854470148206,0.450806718815698,0.5407152679279001,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,persistent_omission,included,0.0036996981753155567,0.0022301162141968654,0.005815092828240587,308,21299,138,11191,227,0.01122649258793464,0.006808404905442899,0.01775869354619689,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,query_macro,persistent_omission,omitted,0.3258509737141137,0.29135300898736366,0.36136390874939456,308,21299,11053,11191,227,0.01122649258793464,0.006808404905442899,0.01775869354619689,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,persistent_inclusion,included,0.22540964364524155,0.18660093986788806,0.27228768284408433,308,21299,4801,4915,269,0.9768056968463886,0.9703968946601197,0.9824425142087748,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,persistent_inclusion,omitted,0.0053523639607493305,0.00418798467286019,0.006655283269565493,308,21299,114,4915,269,0.9768056968463886,0.9703968946601197,0.9824425142087748,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,crossing,included,0.10859664772994038,0.0974485595400385,0.12091951708919381,308,21299,2313,5193,229,0.44540727902946275,0.4245353335201409,0.4664856634301374,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,crossing,omitted,0.13521761585050943,0.12405118145043073,0.14764535502418208,308,21299,2880,5193,229,0.44540727902946275,0.4245353335201409,0.4664856634301374,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,persistent_omission,included,0.006479177426170242,0.004388930018004732,0.009566319782603062,308,21299,138,11191,227,0.012331337682065947,0.00837084804533322,0.018099393605828518,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_ascending,100,pair_micro,persistent_omission,omitted,0.518944551387389,0.46025768842881964,0.5700728654347058,308,21299,11053,11191,227,0.012331337682065947,0.00837084804533322,0.018099393605828518,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,persistent_inclusion,included,0.20530117676751164,0.17153208122154878,0.24064814733125983,308,21299,1098,1148,228,0.9799457657942963,0.9671244173271286,0.989055175401222,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,persistent_inclusion,omitted,0.0042014140224026835,0.0023509847293078576,0.006690845676714924,308,21299,50,1148,228,0.9799457657942963,0.9671244173271286,0.989055175401222,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,crossing,included,0.08425743834880721,0.06866983044634553,0.10199034186922969,308,21299,1030,2763,239,0.4303375829461252,0.37104367733625904,0.4918731209137472,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,crossing,omitted,0.11153637954637662,0.09548577129002013,0.1291407228061783,308,21299,1733,2763,239,0.4303375829461252,0.37104367733625904,0.4918731209137472,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,persistent_omission,included,0.006001488152845709,0.003943536073415192,0.00865688421627907,308,21299,133,17388,257,0.01009156198229154,0.0065956681503371055,0.014675665478485724,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,query_macro,persistent_omission,omitted,0.5887021031620562,0.5502080140903858,0.6260686377107643,308,21299,17255,17388,257,0.01009156198229154,0.0065956681503371055,0.014675665478485724,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,persistent_inclusion,included,0.051551716043006714,0.0414549191302255,0.06409161613210701,308,21299,1098,1148,228,0.9564459930313589,0.9439078490673424,0.9677121978058346,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,persistent_inclusion,omitted,0.0023475280529602328,0.0016644621990469747,0.003196497923789595,308,21299,50,1148,228,0.9564459930313589,0.9439078490673424,0.9677121978058346,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,crossing,included,0.048359077890980796,0.04119286259608656,0.05694725879559457,308,21299,1030,2763,239,0.37278320665942816,0.3544165757906216,0.3914631499837319,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,crossing,omitted,0.08136532231560167,0.07208358634584319,0.09221005533359664,308,21299,1733,2763,239,0.37278320665942816,0.3544165757906216,0.3914631499837319,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,persistent_omission,included,0.006244424620874219,0.0050775316243726965,0.0075427532064380656,308,21299,133,17388,257,0.007648953301127214,0.006140835444025193,0.00942824732335621,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,20,pair_micro,persistent_omission,omitted,0.8101319310765763,0.7797077369948269,0.8352732304714217,308,21299,17255,17388,257,0.007648953301127214,0.006140835444025193,0.00942824732335621,pair-micro conditional ratio,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,persistent_inclusion,included,0.44630316027205896,0.40555007220999906,0.48916825125279956,308,21299,4801,4915,269,0.9884660727824202,0.9821514349727396,0.9928663830386677,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,persistent_inclusion,omitted,0.005207693323316371,0.00327514276687606,0.007970690368771247,308,21299,114,4915,269,0.9884660727824202,0.9821514349727396,0.9928663830386677,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,crossing,included,0.10932938158000563,0.09387344864702986,0.12606656599201155,308,21299,2375,5193,229,0.49936121013950724,0.45320377531529127,0.5450967487834623,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,crossing,omitted,0.10960909293518972,0.09610451380727113,0.12413478671113269,308,21299,2818,5193,229,0.49936121013950724,0.45320377531529127,0.5450967487834623,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,persistent_omission,included,0.005983103768532001,0.003720703091927035,0.008864486161612319,308,21299,161,11191,227,0.018155337794424072,0.011311554637675894,0.027155773408052728,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
wands,minilm,dense,lexical_descending,100,query_macro,persistent_omission,omitted,0.32356756812089715,0.2891677728194832,0.3590380558167189,308,21299,11030,11191,227,0.018155337794424072,0.011311554637675894,0.027155773408052728,ratio of query-macro cell masses,2026091701,10000,95% paired query cluster; uncorrected
