dataset,model,support,K,contrast,aggregation,quantity,mean,ci_low,ci_high,queries,pairs
wands,minilm,full,20,16 minus 7,query_macro,incremental_crossing,0.03648701466927,0.0276599191155313,0.0467034800320629,128,7125
wands,minilm,full,20,16 minus 7,query_macro,from_original_always_in,0.0138793405866114,0.0072544980335441,0.0227028138283604,128,7125
wands,minilm,full,20,16 minus 7,query_macro,from_original_always_out,0.0226076740826585,0.0166048549340012,0.0293023410596457,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,incremental_crossing,0.0390175438596491,0.0315665484531676,0.0489692356047271,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,from_original_always_in,0.0082807017543859,0.0055404758491989,0.0121405350944992,128,7125
wands,minilm,full,20,16 minus 7,pair_micro,from_original_always_out,0.0307368421052631,0.0245660170682453,0.0385277683393019,128,7125
wands,minilm,full,100,16 minus 7,query_macro,incremental_crossing,0.0593151088844637,0.0426292787859216,0.0803020094955754,128,7125
wands,minilm,full,100,16 minus 7,query_macro,from_original_always_in,0.0270129795348613,0.0167271395062531,0.0396531807957408,128,7125
wands,minilm,full,100,16 minus 7,query_macro,from_original_always_out,0.0323021293496023,0.0194996519701569,0.051121671022589,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,incremental_crossing,0.0602105263157894,0.0517053537228425,0.0698186498570679,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,from_original_always_in,0.0211929824561403,0.0158915346371415,0.0282925478440242,128,7125
wands,minilm,full,100,16 minus 7,pair_micro,from_original_always_out,0.0390175438596491,0.0317627277446464,0.046312384756112,128,7125
wands,minilm,full,20,32 minus 16,query_macro,incremental_crossing,0.037120494895033,0.0268177607350577,0.0487654773729718,128,7125
wands,minilm,full,20,32 minus 16,query_macro,from_original_always_in,0.0141944471020574,0.0061947591478131,0.0240909830813807,128,7125
wands,minilm,full,20,32 minus 16,query_macro,from_original_always_out,0.0229260477929756,0.0167143617129079,0.0305292203217132,128,7125
wands,minilm,full,20,32 minus 16,pair_micro,incremental_crossing,0.0348070175438596,0.0282220955873319,0.0436829086888169,128,7125
wands,minilm,full,20,32 minus 16,pair_micro,from_original_always_in,0.0060350877192982,0.0039999412110523,0.0088921931687351,128,7125
