dataset,model,support,K,contrast,aggregation,quantity,mean,ci_low,ci_high,queries,pairs
wands,bge_base,full,20,16 minus 7,query_macro,incremental_crossing,0.03629683926582385,0.024752086803824926,0.05003508095934514,128,7125
wands,bge_base,full,20,16 minus 7,query_macro,from_original_always_in,0.01131694026318958,0.0057247770738058515,0.018822535354024204,128,7125
wands,bge_base,full,20,16 minus 7,query_macro,from_original_always_out,0.024979899002634264,0.015191727711950313,0.03757071646684622,128,7125
wands,bge_base,full,20,16 minus 7,pair_micro,incremental_crossing,0.024421052631578948,0.01793628608179503,0.03294414756808671,128,7125
wands,bge_base,full,20,16 minus 7,pair_micro,from_original_always_in,0.007157894736842105,0.004561381688050973,0.010777138786963326,128,7125
wands,bge_base,full,20,16 minus 7,pair_micro,from_original_always_out,0.01726315789473684,0.012742034327749308,0.023230128649914736,128,7125
wands,bge_base,full,100,16 minus 7,query_macro,incremental_crossing,0.028252001619880774,0.021083648111456917,0.03624894591498538,128,7125
wands,bge_base,full,100,16 minus 7,query_macro,from_original_always_in,0.01465656103444623,0.009407769187765966,0.020814901392449518,128,7125
wands,bge_base,full,100,16 minus 7,query_macro,from_original_always_out,0.01359544058543454,0.009188964813255807,0.018549557780411816,128,7125
wands,bge_base,full,100,16 minus 7,pair_micro,incremental_crossing,0.0376140350877193,0.03134583144733303,0.045202877882074444,128,7125
wands,bge_base,full,100,16 minus 7,pair_micro,from_original_always_in,0.015719298245614036,0.01212358711567556,0.020558030085740517,128,7125
wands,bge_base,full,100,16 minus 7,pair_micro,from_original_always_out,0.021894736842105262,0.017778414470891696,0.026254695839968124,128,7125
wands,bge_base,full,20,32 minus 16,query_macro,incremental_crossing,0.025155442946251147,0.015653577770306463,0.03715464109191853,128,7125
wands,bge_base,full,20,32 minus 16,query_macro,from_original_always_in,0.008531573350797999,0.0025777443288309606,0.018232274758885076,128,7125
wands,bge_base,full,20,32 minus 16,query_macro,from_original_always_out,0.016623869595453145,0.010164971000505483,0.024806007893749666,128,7125
wands,bge_base,full,20,32 minus 16,pair_micro,incremental_crossing,0.020771929824561403,0.015745371029687347,0.02766265709655885,128,7125
wands,bge_base,full,20,32 minus 16,pair_micro,from_original_always_in,0.0046315789473684215,0.0028538653469350993,0.0071240176428907205,128,7125
wands,bge_base,full,20,32 minus 16,pair_micro,from_original_always_out,0.016140350877192983,0.011986551116378051,0.021636028016129634,128,7125
wands,bge_base,full,100,32 minus 16,query_macro,incremental_crossing,0.018660360891374024,0.013725976493768756,0.02409629240412384,128,7125
