dataset,model,rule,reference,metric,delta,ci_low,ci_high,effectiveness_verdict,claim_of_improvement
wands,minilm,lexical_ascending,lexical_ascending,nDCG@10,0.060796901110663,0.0442785279009262,0.0772006137276709,improves,supported
wands,minilm,lexical_ascending,lexical_ascending,nDCG@20,0.0696053482638107,0.0557928215895777,0.0836987133390751,improves,supported
wands,minilm,lexical_ascending,lexical_ascending,cNDCG@10,0.0392165186906726,0.026608121957541,0.0521461747507217,improves,supported
wands,minilm,lexical_ascending,lexical_ascending,cNDCG@20,0.0356684787994805,0.0252859218462893,0.0459643983218314,improves,supported
wands,minilm,lexical_ascending,lexical_ascending,Recall@20,0.0774091562134338,0.0564385115078848,0.1003954645350912,improves,supported
wands,minilm,lexical_ascending,lexical_ascending,Recall@100,0.0956099978379941,0.0753592789489998,0.1175374014511708,improves,supported
wands,minilm,lexical_ascending,BM25,nDCG@10,0.0346765111569041,0.0184565576779975,0.051184518864163,improves,supported
wands,minilm,lexical_ascending,BM25,nDCG@20,0.0411950434173108,0.0273897107404321,0.0554612344292259,improves,supported
wands,minilm,lexical_ascending,BM25,cNDCG@10,0.0136432295569951,0.000451980038115,0.0273316068200103,improves,supported
wands,minilm,lexical_ascending,BM25,cNDCG@20,0.0181098764879995,0.0071437080408055,0.0296133210686192,improves,supported
wands,minilm,lexical_ascending,BM25,Recall@20,0.0174374919819,-9.11320443388584e-05,0.0359800611014973,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,BM25,Recall@100,0.0237754360768962,0.0089887656371092,0.0394121304564351,improves,supported
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,nDCG@10,-0.003057195213127,-0.0088504627824103,0.0025842082692133,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,nDCG@20,-0.0023450427711701,-0.0065335923375676,0.001959063506452,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,cNDCG@10,-0.0001674004961881,-0.0048539104524159,0.0047490640350231,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,cNDCG@20,0.0001524690860549,-0.0034410294947845,0.0039085434063441,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,Recall@20,0.0044578757955165,-0.0031526682105649,0.0132790200575757,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_ascending,raw_hybrid_seven_mean,Recall@100,0.0006244878289576,-0.0036812383837407,0.0051573240733431,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,lexical_descending,nDCG@10,0.061097317083761,0.0435820919561143,0.0783523367822387,improves,supported
wands,minilm,lexical_descending,lexical_descending,nDCG@20,0.0638130537420837,0.0492956916261655,0.0786394057385507,improves,supported
wands,minilm,lexical_descending,lexical_descending,cNDCG@10,0.038014037243657,0.0247936964972465,0.050935244789349,improves,supported
wands,minilm,lexical_descending,lexical_descending,cNDCG@20,0.033226108233159,0.0223962736105123,0.0439523529460567,improves,supported
wands,minilm,lexical_descending,lexical_descending,Recall@20,0.066322865983716,0.0458714604068888,0.0888684685731337,improves,supported
wands,minilm,lexical_descending,lexical_descending,Recall@100,0.0912553026974332,0.0719142491071668,0.1119036558326418,improves,supported
wands,minilm,lexical_descending,BM25,nDCG@10,0.0378013928146959,0.0211530181862071,0.0547041060505291,improves,supported
wands,minilm,lexical_descending,BM25,nDCG@20,0.043128551731675,0.0288080917659331,0.0575659591367632,improves,supported
wands,minilm,lexical_descending,BM25,cNDCG@10,0.0127357618904243,-0.0002350821701869,0.0261755434565871,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,BM25,cNDCG@20,0.0167122052887319,0.0059757390870336,0.0279656987735549,improves,supported
wands,minilm,lexical_descending,BM25,Recall@20,0.0146844204276448,-0.0011195365219107,0.0316490400933878,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,BM25,Recall@100,0.0205457229389215,0.0051642440078033,0.0366078395290937,improves,supported
wands,minilm,lexical_descending,raw_hybrid_seven_mean,nDCG@10,6.768644466469808e-05,-0.0056495180051857,0.0059120908835849,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,raw_hybrid_seven_mean,nDCG@20,-0.0004115344568059,-0.0049924063031316,0.0042616927004008,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,raw_hybrid_seven_mean,cNDCG@10,-0.0010748681627589,-0.00639599828779,0.0043017752519935,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,raw_hybrid_seven_mean,cNDCG@20,-0.0012452021132126,-0.0051278414387878,0.0026766631550799,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,raw_hybrid_seven_mean,Recall@20,0.0017048042412612,-0.004995092067317,0.0089704579327419,inconclusive; equivalence not established,inconclusive
wands,minilm,lexical_descending,raw_hybrid_seven_mean,Recall@100,-0.0026052253090169,-0.0071117775201704,0.0020560806302129,inconclusive; equivalence not established,inconclusive
wands,minilm,field_priority_type,field_priority_type,nDCG@10,0.0635621567303601,0.0473803181801406,0.0795656108265665,improves,supported
wands,minilm,field_priority_type,field_priority_type,nDCG@20,0.0676053552925851,0.05402274666315,0.081225321861847,improves,supported
