dataset,model,method,catalog_size,dimension,dtype,requested_view_budget,index_vectors,vectors_per_product,dense_array_bytes,sparse_array_bytes,total_index_array_bytes,dense_scores_per_query,lexical_branches,dense_branches,full_catalog_branch_sorts,fusion_sorts,historical_dense_encoding_seconds,new_encoding_seconds,load_score_dense_sort_seconds,fusion_sort_evaluate_save_seconds,timing_scope,excluded_storage
wands,minilm,canonical_hybrid_lexical_ascending,42994,384,float32,1,42994,1,66038784,52659768,118698552,42994,1,1,2,1,40.83511686325073,0,2.0608769999817014,3.099945099791512,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
wands,bge_base,canonical_hybrid_lexical_ascending,42994,768,float32,1,42994,1,132077568,52659768,184737336,42994,1,1,2,1,214.5103850364685,0,2.734653400024399,2.804199199890718,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
wands,minilm,canonical_hybrid_lexical_descending,42994,384,float32,1,42994,1,66038784,52659768,118698552,42994,1,1,2,1,268.48577904701233,0,1.8379774000495672,2.706601000158116,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
wands,bge_base,canonical_hybrid_lexical_descending,42994,768,float32,1,42994,1,132077568,52659768,184737336,42994,1,1,2,1,856.1758875846863,0,2.2162697999738157,3.003860600059852,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
wands,minilm,canonical_hybrid_field_priority_type,42994,384,float32,1,42994,1,66038784,52659768,118698552,42994,1,1,2,1,262.31244802474976,0,2.6222733000759035,4.1937033999711275,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
wands,bge_base,canonical_hybrid_field_priority_type,42994,768,float32,1,42994,1,132077568,52659768,184737336,42994,1,1,2,1,825.9753460884094,0,3.3582844000775367,2.994583799969405,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,minilm,canonical_hybrid_lexical_ascending,10076,384,float32,1,10076,1,15476736,8572308,24049044,10076,1,1,2,1,4.922369956970215,0,0.5653700998518616,1.0021063999738544,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,bge_base,canonical_hybrid_lexical_ascending,10076,768,float32,1,10076,1,30953472,8572308,39525780,10076,1,1,2,1,26.446452856063843,0,0.5648290999233723,0.9916207999922335,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,minilm,canonical_hybrid_lexical_descending,10076,384,float32,1,10076,1,15476736,8572308,24049044,10076,1,1,2,1,37.98568534851074,0,0.5377644000109285,0.9837261000648141,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,bge_base,canonical_hybrid_lexical_descending,10076,768,float32,1,10076,1,30953472,8572308,39525780,10076,1,1,2,1,104.00932836532593,0,0.4631521000992507,0.8326856000348926,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,minilm,canonical_hybrid_field_priority_type,10076,384,float32,1,10076,1,15476736,8572308,24049044,10076,1,1,2,1,38.39629769325256,0,0.3842144999653101,0.8676312000025064,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
esci,bge_base,canonical_hybrid_field_priority_type,10076,768,float32,1,10076,1,30953472,8572308,39525780,10076,1,1,2,1,105.48672032356262,0,0.5048634000122547,0.811041499953717,"one local batch; includes audit/I/O, not online latency; exact scoring; no ANN","tokenizer/model weights, sparse vocabulary and metadata, saved evaluation artifacts"
