dataset,model,method,reference,K,eligible_queries,highest_pairs,retained,retained_ci_low,retained_ci_high,newly_included,newly_included_ci_low,newly_included_ci_high,newly_omitted,newly_omitted_ci_low,newly_omitted_ci_high,absent_in_both,absent_in_both_ci_low,absent_in_both_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high
esci,bge_base,canonical_hybrid_field_priority_type,BM25,20,499,4434,0.6606698521986158,0.6297273446674558,0.6908533436816366,0.08965829817555403,0.07447718149208174,0.10615036181763812,0.01618073102722461,0.012030514233298888,0.02082614728184868,0.23349111859860547,0.20846990334361737,0.2597271213043166,0.07347756714832943,0.05754625297292184,0.09049678899765083
esci,bge_base,canonical_hybrid_field_priority_type,BM25,100,499,4434,0.8273828741382911,0.8015000382784931,0.8523644126204662,0.08831545188389417,0.07176385957830259,0.10592248765158753,0.0009362742579175445,0.000167000668002672,0.001860344620865663,0.08336539971989718,0.06538750229437484,0.10272719428192913,0.08737917762597662,0.07077464018867273,0.10486732684747299
esci,bge_base,canonical_hybrid_field_priority_type,field_priority_type,20,499,4434,0.679813707705739,0.6508969640742374,0.7083318034805591,0.0705144426684309,0.0581264868455178,0.08372618182881113,0.05837542669902578,0.04653129238906385,0.07156291015120662,0.19129642292680435,0.1679595692177407,0.2155083991301918,0.01213901596940513,-0.006339438300050339,0.030277302814851626
esci,bge_base,canonical_hybrid_field_priority_type,field_priority_type,100,499,4434,0.8963950924984269,0.8756476119372364,0.9161445373543388,0.019303233523758484,0.013460806468442287,0.026185006909241252,0.01446047526044259,0.009369043988304307,0.020794819486610962,0.06984119871737211,0.05323835109607312,0.08773734560721362,0.004842758263315895,-0.003463646130305501,0.013236495460767835
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C0,20,499,4434,0.7426798507372531,0.7155742706836148,0.7689178023218516,0.00764829963691683,0.004358866839912221,0.011525725396677875,0.0038557384499268263,0.00188797508436787,0.006228672275453337,0.2458161111759033,0.2202626499087724,0.27236512649582156,0.0037925611869900036,0.00018590022197452548,0.007803452335947849
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C0,100,499,4434,0.9144380470189203,0.8949643410504184,0.9325865302187608,0.001260279003264975,0.00041145452280221825,0.002312658487508187,0.0006250596430957152,7.1571714858288e-05,0.0014171199541941023,0.08367661433471899,0.06564959981522653,0.10314630246993091,0.0006352193601692599,-0.00043970024399633606,0.0017795159916903403
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C1,20,499,4434,0.7457639447434087,0.7188714226808157,0.771712841774278,0.00456420563076131,0.0028025438779946186,0.006596239057136051,0.003558451765556024,0.0020263618323394374,0.0053191421614903036,0.24611339786027409,0.22068891047642736,0.2725513904991825,0.0010057538652052866,-0.0012553237173565494,0.0033528117346687605
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C1,100,499,4434,0.9144290546752587,0.8950019171582477,0.9325893103607549,0.0012692713469266573,0.000334001336005344,0.002484333746858797,0.0013011388860914,0.00021238128430774592,0.002945022243810036,0.08300053509172331,0.0649345169704651,0.10248608858199854,-3.18675391647423e-05,-0.0019708875331125265,0.0016714533852614354
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s1,20,499,4434,0.7445239833205815,0.7177324888294748,0.7705183995336091,0.005804167053588464,0.003431088693842269,0.008788809911970554,0.0039684417421792665,0.002455250779394777,0.005698078287609788,0.24570340788365083,0.22012494218374346,0.2723951442274753,0.0018357253114091975,-0.0006979851138946392,0.004854817203815168
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s1,100,499,4434,0.9146677494029313,0.8952508239038788,0.932712781057675,0.0010305766192539737,0.000229625918503674,0.002038882022286331,0.0008859710763518378,0.000167000668002672,0.0018760464652248217,0.08341570290146287,0.0653812307359569,0.10275900404942649,0.00014460554290213608,-0.001055436540469106,0.0013580714357267463
