dataset,model,method,reference,K,aggregation,metric,delta,ci_low,ci_high,eligible_queries,highest_pairs,interval,bootstrap_seed,bootstrap_draws
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,query_macro,persistent_inclusion,0.07740915621343385,0.05643851150788489,0.10039546453509124,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,query_macro,persistent_omission,-0.07740915621343385,-0.10039546453509123,-0.0564385115078849,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,query_macro,mean_recall,0.07740915621343385,0.05643851150788489,0.10039546453509124,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,query_macro,source_recall,0.07740915621343385,0.05643851150788489,0.10039546453509124,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,pair_micro,persistent_inclusion,0.0161040424433072,0.01180929438313211,0.021482929250740086,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,pair_micro,persistent_omission,-0.0161040424433072,-0.02148292925074009,-0.01180929438313212,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,pair_micro,mean_recall,0.0161040424433072,0.01180929438313211,0.021482929250740086,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,20,pair_micro,source_recall,0.0161040424433072,0.01180929438313211,0.021482929250740086,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,query_macro,persistent_inclusion,0.017437491981900064,-9.11320443388584e-05,0.035980061101497304,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,query_macro,persistent_omission,-0.017437491981900064,-0.0359800611014973,9.1132044338854e-05,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,query_macro,mean_recall,0.017437491981900064,-9.11320443388584e-05,0.035980061101497304,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,query_macro,source_recall,0.017437491981900064,-9.11320443388584e-05,0.035980061101497304,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,pair_micro,persistent_inclusion,0.006901732475703084,0.003437973625944933,0.01095032406748971,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,pair_micro,persistent_omission,-0.006901732475703084,-0.010950324067489702,-0.0034379736259449274,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,pair_micro,mean_recall,0.006901732475703084,0.003437973625944933,0.01095032406748971,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,20,pair_micro,source_recall,0.006901732475703084,0.003437973625944933,0.01095032406748971,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,query_macro,persistent_inclusion,0.06976580297458956,0.05627811575929473,0.08520143237859085,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,query_macro,persistent_omission,0.06724892966088027,0.05641748190980391,0.07918654863347373,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,query_macro,VI,-0.13701473263546982,-0.15616844626798757,-0.11907328644755615,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,query_macro,mean_recall,0.004457875795516505,-0.0031526682105649305,0.013279020057575744,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,query_macro,source_recall,0.006048925790650058,-0.0068409112514235485,0.019768658383831433,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,pair_micro,persistent_inclusion,0.04272501056387624,0.03661391163535423,0.050121056041042,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
