dataset,model,method,schedule,metric,mean,ci_low,ci_high,eligible_queries,highest_pairs,bootstrap_seed,bootstrap_draws,interval
esci,bge_base,canonical_hybrid_field_priority_type,fixed,nDCG@10,0.6249840732609104,0.5999974223865675,0.6490513122158036,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,nDCG@20,0.6709062017417844,0.6467541788614862,0.6940426817779817,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,cNDCG@10,0.7283874739520826,0.7096792480372028,0.7464467689326377,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,cNDCG@20,0.8067771345227114,0.7912699508458207,0.8219758680610688,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,JudgedCoverage@10,0.7797595190380762,0.7545090180360722,0.8042084168336674,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,JudgedCoverage@20,0.6050100200400801,0.5826653306613225,0.6276553106212425,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,Recall@20,0.7503281503741699,0.7237333519746059,0.776083726435778,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_field_priority_type,fixed,Recall@100,0.9156983260221854,0.8963201210412488,0.9337589904480846,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,nDCG@10,0.625626547233807,0.6007499923713231,0.6497058464886044,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,nDCG@20,0.6709543716897672,0.6468379049122636,0.6940418873963662,499,4434,2026091701,10000,uncorrected 95% query-cluster percentile
