dataset,model,method,schedule,JudgedCoverage@10,JudgedCoverage@20,Recall@100,Recall@20,cNDCG@10,cNDCG@20,nDCG@10,nDCG@20
esci,bge_base,canonical_hybrid_field_priority_type,fixed,0.7797595190380762,0.6050100200400801,0.9156983260221854,0.7503281503741699,0.7283874739520826,0.8067771345227114,0.6249840732609104,0.6709062017417844
esci,bge_base,canonical_hybrid_lexical_ascending,fixed,0.7807615230460923,0.6047094188376754,0.9155441715594136,0.7500776493721659,0.7286877825084108,0.8067504653295452,0.625626547233807,0.6709543716897672
esci,bge_base,canonical_hybrid_lexical_descending,fixed,0.7801603206412825,0.6031062124248496,0.9155167417599397,0.7476137515763718,0.7250228984755394,0.8053593775333434,0.623783605462875,0.6689919136885818
esci,bge_base,centroid_2,fixed,0.7609218436873748,0.5945891783567134,0.910661008922026,0.7386222436054389,0.7358305578972731,0.8129092325874568,0.6145682675953498,0.6621037168459223
esci,bge_base,centroid_4,fixed,0.760320641282565,0.5939879759519038,0.9101438309875134,0.7385605307599845,0.7368973469547647,0.8133919976924866,0.614746157683049,0.6616897780867207
esci,bge_base,centroid_7,fixed,0.7605210420841684,0.5937875751503007,0.9101283960772889,0.7369609631239321,0.7379582803712655,0.8148037165912986,0.6159423703109546,0.6625329230230478
esci,bge_base,field_priority_type,fixed,0.7613226452905812,0.5924849699398798,0.9108555677588694,0.7381891344047647,0.7375944798623115,0.8149972869145428,0.6167876111189068,0.6629488396368289
esci,bge_base,lexical_ascending,fixed,0.7613226452905811,0.5928857715430862,0.9104509122940938,0.7384157781684826,0.7373805716350714,0.8150071685261866,0.6171179908811973,0.663193879669427
esci,bge_base,lexical_descending,fixed,0.7581162324649299,0.593687374749499,0.9101292278720575,0.7359620113975665,0.735834086074533,0.8129661342814579,0.6138087395444983,0.6612307597755333
esci,bge_base,max_2,fixed,0.7619238476953909,0.5948897795591181,0.9108538549315052,0.7393446962181272,0.7370123731288538,0.8138548794022812,0.6178012689913517,0.6638973074665495
esci,bge_base,max_4,fixed,0.7623246492985971,0.5951903807615231,0.9105041976304452,0.7397806362593226,0.7375697022256343,0.8147726658427362,0.6196188272914579,0.6651094100887918
esci,bge_base,max_7,fixed,0.7613226452905814,0.5950901803607216,0.9104991008568114,0.739691847292778,0.7380470225936807,0.8152727370318884,0.6203538377857925,0.6656040759033988
esci,bge_base,raw,C0,0.7595190380761523,0.593687374749499,0.9097759035682006,0.7410465636379933,0.7359134628494719,0.8133361026062702,0.6159118148210884,0.6629211296319701
esci,bge_base,raw,C1,0.7609218436873747,0.5929859719438878,0.9112962843569007,0.7359655550224,0.7357212247610113,0.8130366479345544,0.6145411567180592,0.660834479781704
esci,bge_base,raw,C2s1,0.7609218436873747,0.5937875751503007,0.9096498578259222,0.7376224893462245,0.7379479156537556,0.8147579827320641,0.6164628818561069,0.6624484374738209
esci,bge_base,raw,C2s2,0.7599198396793588,0.5942885771543085,0.9097742849141455,0.7380253449667826,0.7372486448360847,0.8139443509264774,0.6181391184360766,0.6631071921082577
esci,bge_base,raw,C2s3,0.7587174348697395,0.5949899799599199,0.9117280280752175,0.7409814769587035,0.7388103526235101,0.8149122065535901,0.6168809595099546,0.6636625867869298
esci,bge_base,raw,C2s4,0.7587174348697395,0.593687374749499,0.9098435569647945,0.7386092986140481,0.7358129451562939,0.8130857870427921,0.614644750031038,0.6619680763472751
esci,bge_base,raw,C2s5,0.7609218436873747,0.5923847695390781,0.9108260538291867,0.7358706603265684,0.7364844719704084,0.8127652406747815,0.6144887725340327,0.6608871648410158
esci,bge_base,raw,seven_mean,0.7599484683653022,0.593687374749499,0.9104134242191954,0.7383030555532459,0.7368484311215051,0.8136911883529329,0.6158670648437652,0.6622612952815676
esci,bge_base,raw_hybrid,C0,0.7793587174348697,0.6031062124248497,0.9150631066620161,0.7465355891871799,0.7266706290779354,0.80550007500008,0.6243208624493833,0.6683477050780217
