dataset,model,method,catalog_size,dimension,dtype,requested_view_budget,index_vectors,vectors_per_product,dense_array_bytes,sparse_array_bytes,mean_distinct_text_views,mean_distinct_vectors,offline_cache_construction_seconds,encoded_items,offline_scope,query_encoding_cache_seconds,source_ids,unmeasured,single_query_encode_ms_median,single_query_encode_ms_p95,score_ms_median,score_ms_p95,sort_ms_median,sort_ms_p95,exact_retrieval_ms_median,exact_retrieval_ms_p95,timing_queries,timing_repeats,timing_scope
wands,minilm,raw_C0,42994,384,float32,1,42994,1,66038784,0,1.0,1.0,121.32480692863464,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase2\results\embeddings\wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,raw_seven,42994,384,float32,1,42994,1,66038784,0,1.0,1.0,121.32480692863464,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase2\results\embeddings\wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,lexical_ascending,42994,384,float32,1,42994,1,66038784,0,1.0,1.0,40.83511686325073,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase4\results\embeddings\wands_minilm_canonical_raw_5bb0ccfb0c8d8478f8de.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,lexical_descending,42994,384,float32,1,42994,1,66038784,0,1.0,1.0,268.4857790470124,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,revision_evidence_20260917\experiments\embeddings\wands_minilm_lexical_descending_6aafe240163ca5270d48.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,field_priority_type,42994,384,float32,1,42994,1,66038784,0,1.0,1.0,262.31244802474976,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,revision_evidence_20260917\experiments\embeddings\wands_minilm_field_priority_type_94e39fdcf8cc6796dc5e.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,set_mean,42994,384,float32,1,42994,1,66038784,0,,1.0,26.65120410919189,172145.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase4\results\embeddings\wands_minilm_nonattributes_795ca279b219a3f1dae0.npy;phase4\results\embeddings\wands_minilm_atoms_602c961a575bea3ad118.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,centroid_2,42994,384,float32,2,42994,1,66038784,0,1.9993952644555053,1.9664604363399545,100.9362087249756,85988.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase4\results\embeddings\wands_minilm_view1_ad5ef770714a24493459.npy;phase4\results\embeddings\wands_minilm_view2_353f407eb911d9a4122a.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,max_2,42994,384,float32,2,85988,2,132077568,0,1.9993952644555053,1.9664604363399545,100.9362087249756,85988.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase4\results\embeddings\wands_minilm_view1_ad5ef770714a24493459.npy;phase4\results\embeddings\wands_minilm_view2_353f407eb911d9a4122a.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,BM25,42994,384,float32,1,0,0,0,52659768,,,,,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",,,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,minilm,hybrid_seven,42994,384,float32,1,42994,1,66038784,52659768,1.0,1.0,121.32480692863464,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3494019508361816,phase2\results\embeddings\wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
