dataset,model,method,contrast,schedule,reference,metric,delta,ci_low,ci_high,verdict,eligible_queries,bootstrap_seed,bootstrap_draws,interval
wands,minilm,raw,schedule_minus_C0,C1,C0,nDCG@10,-0.01314304698153852,-0.0255941458417988,-0.000813274784023951,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,nDCG@20,-0.011008706062999765,-0.019960614027901436,-0.002127464511825511,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,cNDCG@10,-0.0034736592001977594,-0.012965315437144844,0.005559615031182265,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,cNDCG@20,-0.004248658862296726,-0.010974161710892596,0.002464022826752197,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,JudgedCoverage@10,-0.008116883116883118,-0.02077922077922078,0.0042207792207792205,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,JudgedCoverage@20,-0.004220779220779223,-0.013149350649350649,0.0045495129870129275,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,Recall@20,-0.026002909980228757,-0.04557280062350262,-0.008135275525849677,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C1,C0,Recall@100,-0.02424367797319666,-0.04019322119992906,-0.009784333804619844,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,nDCG@10,-0.008830526605612836,-0.01960913426576173,0.0016162950078931785,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,nDCG@20,-0.006203195497906031,-0.013934587045773234,0.0013536048385471842,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,cNDCG@10,-0.003124447560469785,-0.01111118903686552,0.004878330433429923,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,cNDCG@20,-0.005405968234581604,-0.01115223976112853,0.00019293033936303497,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,JudgedCoverage@10,-0.004220779220779221,-0.015259740259740263,0.0064935064935064965,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,JudgedCoverage@20,-0.0029220779220779226,-0.01022727272727273,0.004383116883116882,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,Recall@20,-0.009490417424861486,-0.025810314069676838,0.005982737177716397,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s1,C0,Recall@100,-0.011636888081729883,-0.023047326859882103,-0.001230812474636637,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,nDCG@10,-0.0025754562447503375,-0.012661287635248764,0.007496092243836217,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,nDCG@20,-0.001377408404312782,-0.008691480205992605,0.005909663035159614,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,cNDCG@10,0.0010140010999566485,-0.006732693616145189,0.00891562821788764,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,cNDCG@20,-0.001353208548521994,-0.007081008995731117,0.004403116608764844,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,JudgedCoverage@10,-0.0025974025974025957,-0.012662337662337661,0.007467532467532471,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,JudgedCoverage@20,0.001948051948051946,-0.005681818181818181,0.009415584415584412,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,Recall@20,-0.011388469562597007,-0.02641721758371709,0.0029638981914426508,inconclusive; equivalence not established,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
wands,minilm,raw,schedule_minus_C0,C2s2,C0,Recall@100,-0.012217589431663038,-0.023308885137722966,-0.001605899989143452,reduces,308,2026091701,10000,uncorrected 95% paired query-cluster percentile
