dataset,model,method,schedule,ndcg_cutoff,membership_cutoff,all_queries,changed_queries,changed_fraction,integer_recall_cancellations_changed,numerical_zero_changed,numerical_atol,numerical_rtol,cutoff_note,abs_delta_q00,abs_delta_q25,abs_delta_q50,abs_delta_q75,abs_delta_q90,abs_delta_q95,abs_delta_q100,changed_at_or_below_0.001,changed_above_0.001,fraction_changed_at_or_below_0.001,fraction_all_changed_at_or_below_0.001,changed_at_or_below_0.005,changed_above_0.005,fraction_changed_at_or_below_0.005,fraction_all_changed_at_or_below_0.005,changed_at_or_below_0.01,changed_above_0.01,fraction_changed_at_or_below_0.01,fraction_all_changed_at_or_below_0.01
wands,minilm,raw,C1,20,20,308,211,0.685064935064935,57,21,1e-12,0,same K20,0.0,0.011384979572306692,0.03988462031667217,0.0791711975274291,0.1499544793545688,0.19141325261572353,0.4449370005153545,24,187,0.11374407582938388,0.07792207792207792,35,176,0.16587677725118483,0.11363636363636363,50,161,0.23696682464454977,0.16233766233766234
wands,minilm,raw,C1,10,20,308,211,0.685064935064935,57,40,1e-12,0,K10 diagnostic conditioned on K20 membership; different cutoff,0.0,0.008666197610734172,0.0489092813995734,0.09745660301492903,0.20896609266491906,0.2732294991897236,0.49673072965016907,40,171,0.1895734597156398,0.12987012987012986,44,167,0.20853080568720378,0.14285714285714285,56,155,0.26540284360189575,0.18181818181818182
wands,minilm,raw,C2s1,20,20,308,207,0.672077922077922,52,18,1e-12,0,same K20,0.0,0.013890958891425054,0.0334374913847133,0.06342542586052816,0.12808730025663306,0.1582936723732671,0.23403884054007718,21,186,0.10144927536231885,0.06818181818181818,30,177,0.14492753623188406,0.09740259740259741,43,164,0.20772946859903382,0.1396103896103896
wands,minilm,raw,C2s1,10,20,308,207,0.672077922077922,52,50,1e-12,0,K10 diagnostic conditioned on K20 membership; different cutoff,0.0,0.0006181698197289254,0.044169482302926055,0.08959224855023279,0.14918320080817604,0.2346647675186332,0.3253600613027464,53,154,0.2560386473429952,0.17207792207792208,62,145,0.2995169082125604,0.2012987012987013,76,131,0.3671497584541063,0.24675324675324675
wands,minilm,raw,C2s2,20,20,308,198,0.6428571428571429,60,25,1e-12,0,same K20,0.0,0.012433568989516613,0.03714727070876511,0.08010549658208416,0.1142301064779282,0.16477023812229155,0.24726478306414684,28,170,0.1414141414141414,0.09090909090909091,38,160,0.1919191919191919,0.12337662337662338,47,151,0.23737373737373738,0.1525974025974026
wands,minilm,raw,C2s2,10,20,308,198,0.6428571428571429,60,45,1e-12,0,K10 diagnostic conditioned on K20 membership; different cutoff,0.0,0.004969094610367109,0.04439326208474331,0.09545871338897924,0.16301843348232717,0.23433117700602632,0.3296749122926165,46,152,0.23232323232323232,0.14935064935064934,50,148,0.25252525252525254,0.16233766233766234,58,140,0.29292929292929293,0.18831168831168832
wands,minilm,raw,C2s3,20,20,308,195,0.6331168831168831,59,25,1e-12,0,same K20,0.0,0.009627616215779233,0.03302900725595925,0.06425974455418157,0.11246727849478129,0.14787127955525312,0.3788816867417733,28,167,0.14358974358974358,0.09090909090909091,39,156,0.2,0.1266233766233766,49,146,0.2512820512820513,0.1590909090909091
wands,minilm,raw,C2s3,10,20,308,195,0.6331168831168831,59,43,1e-12,0,K10 diagnostic conditioned on K20 membership; different cutoff,0.0,0.0024176009477848426,0.04241385879930115,0.08896903094238026,0.16484451966288327,0.20072345819957585,0.5197916779875877,46,149,0.2358974358974359,0.14935064935064934,53,142,0.2717948717948718,0.17207792207792208,63,132,0.3230769230769231,0.20454545454545456
wands,minilm,raw,C2s4,20,20,308,196,0.6363636363636364,64,23,1e-12,0,same K20,0.0,0.008577251718169386,0.03346278496907085,0.06503510517203093,0.10374677393676546,0.1566099285935129,0.3281488840533089,24,172,0.12244897959183673,0.07792207792207792,33,163,0.1683673469387755,0.10714285714285714,51,145,0.2602040816326531,0.16558441558441558
wands,minilm,raw,C2s4,10,20,308,196,0.6363636363636364,64,41,1e-12,0,K10 diagnostic conditioned on K20 membership; different cutoff,0.0,0.00529229094201944,0.045378670335933735,0.09491004409462793,0.15525838476395096,0.22866609635632912,0.4549704514630501,42,154,0.21428571428571427,0.13636363636363635,49,147,0.25,0.1590909090909091,57,139,0.29081632653061223,0.18506493506493507
