query_id,persistent_inclusion,VI,persistent_omission,n_highest,dataset,model,support,family,K,profile
1,0,0,1,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
2,0.066225165562913912,0.13907284768211919,0.79470198675496684,151,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
6,0,0.093023255813953487,0.90697674418604646,43,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
7,0.17391304347826086,0.30434782608695654,0.52173913043478259,23,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
11,0.1076923076923077,0.24615384615384617,0.64615384615384619,65,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
13,0.2391304347826087,0.19565217391304349,0.56521739130434778,46,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
14,0.25,0.34999999999999998,0.40000000000000002,20,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
17,0.23809523809523808,0.2857142857142857,0.47619047619047616,21,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
26,0.0011415525114155251,0.049086757990867577,0.94977168949771684,876,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
27,0.01,0.040000000000000001,0.94999999999999996,100,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
31,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
36,0.081081081081081086,0.27027027027027029,0.64864864864864868,37,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
