dataset,model,schedule,role,payload,payload_exists,payload_sha256,metadata,metadata_sha256,implementation,precision,profile,model_revision,transformers,prefix,catalog_ordering,query_ordering
wands,minilm,C0,product,phase2/results/embeddings/wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,True,9e64061eb6cc75b92fed46e385b32718632545379a980a9e10053849bbf3689c,phase2/results/embeddings/wands_minilm_native_C0_6ffb5b340d35d66f2b33.json,2cc614a7caddfe341e850d5359aa2055a46f3090e4747c9751a4bff3ceb22658,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C0,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C1,product,phase2/results/embeddings/wands_minilm_native_C1_3ee547664d76abcf96a3.npy,True,4527db37fe9a45e9107e17632ed32139218512b71f0e6ac32b7d2c1b62119307,phase2/results/embeddings/wands_minilm_native_C1_3ee547664d76abcf96a3.json,2527b9a7a20fb0aafe081a949a1083112ef3d9f749a8ba732fc3ef2fe1523037,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C1,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s1,product,phase2/results/embeddings/wands_minilm_native_C2s1_45a99b07f4ca9c5d5955.npy,True,8d37c9f00670f26adc0423318b1de9fdb41fb399ca0c90f8223ec2f229e5c669,phase2/results/embeddings/wands_minilm_native_C2s1_45a99b07f4ca9c5d5955.json,5d7d087f0882372986b3c34f601d25efdb093789995d74b17393e93983ae3fab,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s1,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s2,product,phase2/results/embeddings/wands_minilm_native_C2s2_5151741b5fee5b3e0e51.npy,True,c3061c2f6e8ea11efdab035f5cf67040405239a1975e045692b94e247bcda5d2,phase2/results/embeddings/wands_minilm_native_C2s2_5151741b5fee5b3e0e51.json,4917e0a9b4cd55a1cf8e3cb7c69a5e93f207eff7f1797925a42cc826e850960c,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s2,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s3,product,phase2/results/embeddings/wands_minilm_native_C2s3_aedd8c4e450966998fc9.npy,True,0f1c636431bb4f24f08b4518caefccfa8789aa53ae6d306af8323194b1c11047,phase2/results/embeddings/wands_minilm_native_C2s3_aedd8c4e450966998fc9.json,db04fdaab87242681839cc499940db216b95a3e1be43c8e315dc0e84275dc1ee,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s3,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
