query_id,persistent_inclusion,VI,persistent_omission,n_highest,dataset,model,support,K
1,0,0,0,8,wands,minilm,full,20
2,0,0,0,151,wands,minilm,full,20
6,0,0,0,43,wands,minilm,full,20
7,0,0,0,23,wands,minilm,full,20
11,0,0,0,65,wands,minilm,full,20
13,0,0,0,46,wands,minilm,full,20
14,0,0,0,20,wands,minilm,full,20
17,0,0,0,21,wands,minilm,full,20
26,0,-0.0011415525114155251,0.0011415525114154557,876,wands,minilm,full,20
27,0,0,0,100,wands,minilm,full,20
31,0,0,0,1,wands,minilm,full,20
36,0,0,0,37,wands,minilm,full,20
37,0,0,0,110,wands,minilm,full,20
39,0,0,0,31,wands,minilm,full,20
40,0,0,0,40,wands,minilm,full,20
42,0,0,0,3,wands,minilm,full,20
48,0,0,0,1,wands,minilm,full,20
54,0,0,0,5,wands,minilm,full,20
55,0,0,0,1,wands,minilm,full,20
59,0,0,0,43,wands,minilm,full,20
60,0,0,0,3,wands,minilm,full,20
65,0,0,0,38,wands,minilm,full,20
66,0,0,0,1,wands,minilm,full,20
68,0,0,0,89,wands,minilm,full,20
74,0,0,0,3,wands,minilm,full,20
76,0,0,0,2,wands,minilm,full,20
77,0,0,0,1,wands,minilm,full,20
78,0,0,0,3,wands,minilm,full,20
82,0,0,0,53,wands,minilm,full,20
86,0,0,0,15,wands,minilm,full,20
88,0,0,0,1,wands,minilm,full,20
89,0,0,0,68,wands,minilm,full,20
91,0,0,0,8,wands,minilm,full,20
93,0,0,0,58,wands,minilm,full,20
94,0,0,0,4,wands,minilm,full,20
102,0,0,0,57,wands,minilm,full,20
107,0,0,0,43,wands,minilm,full,20
111,0,0,0,69,wands,minilm,full,20
122,0,0,0,375,wands,minilm,full,20
123,0,0,0,187,wands,minilm,full,20
125,0,0,0,1,wands,minilm,full,20
126,0,-0.0041493775933610089,0.0041493775933610921,241,wands,minilm,full,20
129,0,0,0,28,wands,minilm,full,20
130,0,0,0,187,wands,minilm,full,20
132,0,0,0,42,wands,minilm,full,20
137,0,0,0,80,wands,minilm,full,20
140,0,0,0,3,wands,minilm,full,20
141,0,0,0,3,wands,minilm,full,20
142,0,0,0,5,wands,minilm,full,20
146,0,0,0,4,wands,minilm,full,20
147,0,0,0,12,wands,minilm,full,20
148,0,0,0,194,wands,minilm,full,20
150,0,0,0,21,wands,minilm,full,20
155,0,0,0,8,wands,minilm,full,20
160,0,0,0,226,wands,minilm,full,20
164,0,0,0,128,wands,minilm,full,20
165,0,0,0,69,wands,minilm,full,20
176,0,0,0,23,wands,minilm,full,20
177,0,0,0,16,wands,minilm,full,20
180,0.013888888888888895,-0.013888888888888895,0,72,wands,minilm,full,20
182,0,0,0,58,wands,minilm,full,20
184,0,0,0,59,wands,minilm,full,20
185,0,0,0,34,wands,minilm,full,20
195,0,0,0,3,wands,minilm,full,20
200,0,0,0,3,wands,minilm,full,20
202,0,0,0,45,wands,minilm,full,20
203,0,0,0,5,wands,minilm,full,20
210,0,0,0,9,wands,minilm,full,20
213,0,0,0,1,wands,minilm,full,20
226,0,0,0,197,wands,minilm,full,20
235,0,0,0,133,wands,minilm,full,20
241,0,0,0,148,wands,minilm,full,20
242,0,0,0,175,wands,minilm,full,20
244,0,0,0,9,wands,minilm,full,20
246,0,0,0,12,wands,minilm,full,20
251,0,0,0,90,wands,minilm,full,20
260,0,0,0,26,wands,minilm,full,20
266,0,0,0,1,wands,minilm,full,20
267,0,0,0,2,wands,minilm,full,20
270,0,0,0,42,wands,minilm,full,20
271,0,0,0,1,wands,minilm,full,20
273,0,0,0,4,wands,minilm,full,20
275,0,0,0,13,wands,minilm,full,20
279,0,0,0,1,wands,minilm,full,20
281,0,0,0,1,wands,minilm,full,20
295,0,0,0,6,wands,minilm,full,20
297,0,0,0,8,wands,minilm,full,20
302,0,0,0,59,wands,minilm,full,20
308,0,0,0,2,wands,minilm,full,20
310,0,0,0,4,wands,minilm,full,20
313,0,0,0,3,wands,minilm,full,20
316,0,0,0,1,wands,minilm,full,20
317,0,0,0,2,wands,minilm,full,20
323,0,0,0,1,wands,minilm,full,20
326,0,0,0,1,wands,minilm,full,20
327,0,0,0,8,wands,minilm,full,20
330,0,0,0,1,wands,minilm,full,20
346,0,0,0,19,wands,minilm,full,20
352,0,0,0,29,wands,minilm,full,20
359,0,0,0,8,wands,minilm,full,20
367,0,0,0,42,wands,minilm,full,20
368,0,0,0,81,wands,minilm,full,20
370,0,0,0,1,wands,minilm,full,20
372,0,0,0,1,wands,minilm,full,20
376,0,0,0,3,wands,minilm,full,20
382,0,0,0,4,wands,minilm,full,20
396,0,0,0,1,wands,minilm,full,20
402,0,0,0,7,wands,minilm,full,20
407,0,0,0,11,wands,minilm,full,20
415,0,0,0,75,wands,minilm,full,20
417,0,0,0,188,wands,minilm,full,20
425,0,0,0,56,wands,minilm,full,20
429,0,0,0,94,wands,minilm,full,20
433,0,0,0,113,wands,minilm,full,20
435,0,0,0,47,wands,minilm,full,20
438,0,0,0,101,wands,minilm,full,20
441,0,0,0,78,wands,minilm,full,20
445,0,0,0,170,wands,minilm,full,20
447,0,0,0,3,wands,minilm,full,20
455,0,0,0,2,wands,minilm,full,20
459,0,0,0,19,wands,minilm,full,20
460,0,0,0,7,wands,minilm,full,20
461,0,0,0,4,wands,minilm,full,20
464,0,0,0,85,wands,minilm,full,20
465,0,0,0,1,wands,minilm,full,20
466,0,0,0,1,wands,minilm,full,20
476,0,0,0,639,wands,minilm,full,20
481,0,0,0,1,wands,minilm,full,20
1,0,0,0,8,wands,minilm,full,100
2,0,0,0,151,wands,minilm,full,100
6,0,0,0,43,wands,minilm,full,100
7,0,0,0,23,wands,minilm,full,100
11,0,0,0,65,wands,minilm,full,100
13,0,0,0,46,wands,minilm,full,100
14,0,0,0,20,wands,minilm,full,100
17,0,0,0,21,wands,minilm,full,100
26,0,0.0011415525114155389,-0.0011415525114154557,876,wands,minilm,full,100
27,0,0,0,100,wands,minilm,full,100
31,0,0,0,1,wands,minilm,full,100
36,0,0,0,37,wands,minilm,full,100
37,0,0,0,110,wands,minilm,full,100
39,0,0,0,31,wands,minilm,full,100
40,0,0,0,40,wands,minilm,full,100
42,0,0,0,3,wands,minilm,full,100
48,0,0,0,1,wands,minilm,full,100
54,0,0,0,5,wands,minilm,full,100
55,0,0,0,1,wands,minilm,full,100
59,0,0,0,43,wands,minilm,full,100
60,0,0,0,3,wands,minilm,full,100
65,0,0,0,38,wands,minilm,full,100
66,0,0,0,1,wands,minilm,full,100
68,0,0,0,89,wands,minilm,full,100
74,0,0,0,3,wands,minilm,full,100
76,0,0,0,2,wands,minilm,full,100
77,0,0,0,1,wands,minilm,full,100
78,0,0,0,3,wands,minilm,full,100
82,0,0,0,53,wands,minilm,full,100
86,0,0,0,15,wands,minilm,full,100
88,0,0,0,1,wands,minilm,full,100
89,0,0,0,68,wands,minilm,full,100
91,0,0,0,8,wands,minilm,full,100
93,0,0,0,58,wands,minilm,full,100
94,0,0,0,4,wands,minilm,full,100
102,0,0,0,57,wands,minilm,full,100
107,0,0,0,43,wands,minilm,full,100
111,0,0,0,69,wands,minilm,full,100
122,0,0,0,375,wands,minilm,full,100
123,0,0,0,187,wands,minilm,full,100
125,0,0,0,1,wands,minilm,full,100
126,0,0,0,241,wands,minilm,full,100
129,0,0,0,28,wands,minilm,full,100
130,0,0,0,187,wands,minilm,full,100
132,0,0,0,42,wands,minilm,full,100
137,0,0,0,80,wands,minilm,full,100
140,0,0,0,3,wands,minilm,full,100
141,0,0,0,3,wands,minilm,full,100
142,0,0,0,5,wands,minilm,full,100
146,0,0,0,4,wands,minilm,full,100
147,0,0,0,12,wands,minilm,full,100
148,0,0,0,194,wands,minilm,full,100
150,0,0,0,21,wands,minilm,full,100
155,0,0,0,8,wands,minilm,full,100
160,0,0,0,226,wands,minilm,full,100
164,0,0,0,128,wands,minilm,full,100
165,0,0,0,69,wands,minilm,full,100
176,0,0,0,23,wands,minilm,full,100
177,0,0,0,16,wands,minilm,full,100
180,0,0,0,72,wands,minilm,full,100
182,0,0,0,58,wands,minilm,full,100
184,0,0,0,59,wands,minilm,full,100
185,0,0,0,34,wands,minilm,full,100
195,0,0,0,3,wands,minilm,full,100
200,0,0,0,3,wands,minilm,full,100
202,0,0,0,45,wands,minilm,full,100
203,0,0,0,5,wands,minilm,full,100
210,0,0,0,9,wands,minilm,full,100
213,0,0,0,1,wands,minilm,full,100
226,0,0.0050761421319797106,-0.0050761421319797106,197,wands,minilm,full,100
235,0,0,0,133,wands,minilm,full,100
241,0,-0.0067567567567567988,0.0067567567567567433,148,wands,minilm,full,100
242,0,0,0,175,wands,minilm,full,100
244,0,0,0,9,wands,minilm,full,100
246,0,0,0,12,wands,minilm,full,100
251,0,0,0,90,wands,minilm,full,100
260,0,0,0,26,wands,minilm,full,100
266,0,0,0,1,wands,minilm,full,100
267,0,0,0,2,wands,minilm,full,100
270,0,0,0,42,wands,minilm,full,100
271,0,0,0,1,wands,minilm,full,100
273,0,0,0,4,wands,minilm,full,100
275,0,0,0,13,wands,minilm,full,100
279,0,0,0,1,wands,minilm,full,100
281,0,0,0,1,wands,minilm,full,100
295,0,0,0,6,wands,minilm,full,100
297,0,0,0,8,wands,minilm,full,100
302,0,0,0,59,wands,minilm,full,100
308,0,0,0,2,wands,minilm,full,100
310,0,0,0,4,wands,minilm,full,100
313,0,0,0,3,wands,minilm,full,100
316,0,0,0,1,wands,minilm,full,100
317,0,0,0,2,wands,minilm,full,100
323,0,0,0,1,wands,minilm,full,100
326,0,0,0,1,wands,minilm,full,100
327,0,0,0,8,wands,minilm,full,100
330,0,0,0,1,wands,minilm,full,100
346,0,0,0,19,wands,minilm,full,100
352,0,0,0,29,wands,minilm,full,100
359,0,0,0,8,wands,minilm,full,100
367,0,0,0,42,wands,minilm,full,100
368,0,0,0,81,wands,minilm,full,100
370,0,0,0,1,wands,minilm,full,100
372,0,0,0,1,wands,minilm,full,100
376,0,0,0,3,wands,minilm,full,100
382,0,0,0,4,wands,minilm,full,100
396,0,0,0,1,wands,minilm,full,100
402,0,0,0,7,wands,minilm,full,100
407,0,0,0,11,wands,minilm,full,100
415,0,0,0,75,wands,minilm,full,100
417,0,0,0,188,wands,minilm,full,100
425,0,0,0,56,wands,minilm,full,100
429,0,0,0,94,wands,minilm,full,100
433,0,0,0,113,wands,minilm,full,100
435,0,0,0,47,wands,minilm,full,100
438,0,0,0,101,wands,minilm,full,100
441,0,0,0,78,wands,minilm,full,100
445,0.0058823529411764497,-0.0058823529411764497,0,170,wands,minilm,full,100
447,0,0,0,3,wands,minilm,full,100
455,0,0,0,2,wands,minilm,full,100
459,0,0,0,19,wands,minilm,full,100
460,0,0,0,7,wands,minilm,full,100
461,0,0,0,4,wands,minilm,full,100
464,0,0,0,85,wands,minilm,full,100
465,0,0,0,1,wands,minilm,full,100
466,0,0,0,1,wands,minilm,full,100
476,0,0,0,639,wands,minilm,full,100
481,0,0,0,1,wands,minilm,full,100
2,0,0,0,18,wands,minilm,common_all_fitting,20
6,0,0,0,1,wands,minilm,common_all_fitting,20
7,0,0,0,2,wands,minilm,common_all_fitting,20
13,0,0,0,1,wands,minilm,common_all_fitting,20
14,0,0,0,1,wands,minilm,common_all_fitting,20
17,0,0,0,1,wands,minilm,common_all_fitting,20
