dataset,model,method,schedule,rank_source,rank_sha256,bytes,historical_manifest_sha256,historical_hash_source,historical_hash_status,condition_manifest,condition_manifest_sha256,condition_record,graded_query_companion,embedding_source,embedding_sha256,embedding_metadata,embedding_metadata_sha256,recorded_model_revision,recorded_precision,recorded_runtime_versions
wands,minilm,raw,C0,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet,8e2263d54f75c4a4c51fae7240d3c879ca01aae0b6e7109e1af5ea4bcc652096,2833065,8e2263d54f75c4a4c51fae7240d3c879ca01aae0b6e7109e1af5ea4bcc652096,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C0"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C0.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C1,phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet,1677ff51e8c00240a37056380b03e447639d53ed70e3dd52ba943b780b76d148,2834144,1677ff51e8c00240a37056380b03e447639d53ed70e3dd52ba943b780b76d148,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C1"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C1.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C2s1,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet,18dabe2616e9c9d125207a3327d81dbd4a7ef25472017d018a0618a426983987,2833440,18dabe2616e9c9d125207a3327d81dbd4a7ef25472017d018a0618a426983987,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C2s1"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C2s1.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C2s2,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet,364cc2c1e54b56bd738545f27f6d9b8632a6ea2f68a62fc049ad1e806e2779af,2833204,364cc2c1e54b56bd738545f27f6d9b8632a6ea2f68a62fc049ad1e806e2779af,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C2s2"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C2s2.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C2s3,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet,a0c02bc2454bdd9884ff8177436c1bc7f32b46dc9f43d64363fd10fb0941d683,2833478,a0c02bc2454bdd9884ff8177436c1bc7f32b46dc9f43d64363fd10fb0941d683,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C2s3"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C2s3.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C2s4,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet,4a25bf871b4ff3e7b5b314c9c9123390eacc60f151914145dc26b89cad8373d7,2833655,4a25bf871b4ff3e7b5b314c9c9123390eacc60f151914145dc26b89cad8373d7,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C2s4"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C2s4.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,raw,C2s5,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,de791f1808fe06d52d605e3dd27e3c3b570d09b381c92c8c2e297a005049e5ec,2833521,de791f1808fe06d52d605e3dd27e3c3b570d09b381c92c8c2e297a005049e5ec,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""raw"", ""schedule"": ""C2s5"", ""pairs"": ""phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet"", ""top"": ""phase2/results/phase2_top50/wands_minilm_native_C2s5.parquet"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,set_mean,fixed,phase4/results/wands/minilm_set_mean_pairs.parquet,2fca53d77e792e2f648e118ee660a4b148ac9c25ec81220374424777c5e05776,2594562,2fca53d77e792e2f648e118ee660a4b148ac9c25ec81220374424777c5e05776,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""set_mean"", ""schedule"": ""fixed"", ""pairs"": ""phase4/results/wands/minilm_set_mean_pairs.parquet"", ""top"": ""phase4/results/wands/minilm_set_mean_top1000.npy"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,centroid_2,fixed,phase4/results/wands/minilm_centroid_2_pairs.parquet,454df6b10d8f03334cebbe15fa06e2ca27f2ecf86584fd1035fabe8da386a1ec,2598438,454df6b10d8f03334cebbe15fa06e2ca27f2ecf86584fd1035fabe8da386a1ec,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""centroid_2"", ""schedule"": ""fixed"", ""pairs"": ""phase4/results/wands/minilm_centroid_2_pairs.parquet"", ""top"": ""phase4/results/wands/minilm_centroid_2_top1000.npy"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
wands,minilm,max_2,fixed,phase4/results/wands/minilm_max_2_pairs.parquet,6ff443c3199249a40372abd615fd44304f104a8b41e0aa89d1b6a136fbb56ace,2598706,6ff443c3199249a40372abd615fd44304f104a8b41e0aa89d1b6a136fbb56ace,revision_graded_20260922/data/input_manifest.json,MATCH,revision_graded_20260922/data/conditions.json,b5172a170d52509e1702fd893cfcbe71d876822715caf8928a8f526d19061a53,"{""dataset"": ""wands"", ""model"": ""minilm"", ""method"": ""max_2"", ""schedule"": ""fixed"", ""pairs"": ""phase4/results/wands/minilm_max_2_pairs.parquet"", ""top"": ""phase4/results/wands/minilm_max_2_top1000.npy"", ""manifest"": ""data/conditions.json""}",data/effectiveness_per_query.parquet,not specified by this condition record,,,,,,unavailable in condition record; not inferred
