path,sha256,role,bytes
revision_evidence_20260917/data/validation_report.json,a0c815625d6b1125e588fc024f196799b9f795789e201f4140526111650d3ad3,reused validation; no historical writer rerun,
revision_graded_20260922/qa/validation.json,7be2780de743a758c70cbe2e6fd4cd9361c2b8d4561b07284c2e0a4756f18942,reused validation; no historical writer rerun,
revision_completion_20260921/qa/validation.json,ac99c7b7ca84451de11ab37e8159c53a0ce93175281073a08c9d77fcf85f7353,reused validation; no historical writer rerun,
revision_final_strengthening_20260922/qa/final_validation.json,a66c1bf30eff30f380b989cbca5da656ce386ee3ab82cecad2bf0707c26fc0c0,reused validation; no historical writer rerun,
revision_final_strengthening_20260922/qa/coverage_plan_validation.json,fb16d85ee1aa2192deac6a20862fe8aa7f7c76a706de5c44a0eb1e8d57e6df05,reused validation; no historical writer rerun,
revision_evidence_20260917/analysis_runtime.json,efe91c68df98a8fe484789628b38b3cb8c849c0a9e4f282c77e55aa97952f9dc,saved evidence/source inventory,308
revision_evidence_20260917/BGE_EXECUTION_ADDENDUM.json,7b1174bb6279a8a8e9cc88e3a7a668a79b01d1cfca4a17597f49f2bca2a277de,saved evidence/source inventory,1529
revision_evidence_20260917/CANCELLATION_TABLE.md,12261a30961a11197c72c5c1888acd68f5bcfb805430086d403a80f0e9a29780,saved evidence/source inventory,5067
revision_evidence_20260917/CANONICAL_CONTROLS.md,43e0cabdc44482ea6efd1d0fbe40a57a5737b06d703e15e48b27928c9f5e9cb2,saved evidence/source inventory,6950
revision_evidence_20260917/CAPTIONS_AND_ACCESSIBILITY.md,cd37d2f99256590e7a7868414cc29be7f2ebdb8f36a40add93794ebc0226f28f,saved evidence/source inventory,4394
revision_evidence_20260917/DELIVERY_MANIFEST.json,e2e58fc9c8e29d313ad8a88e08b762d7ded27e86813635142d37971a9c4d4182,saved evidence/source inventory,22441
revision_evidence_20260917/EVIDENCE_STATUS.md,caafa13bbe3b3c3a02ada7af1d2a9e540d3807aa1471e3aae122add249340720,saved evidence/source inventory,11730
revision_evidence_20260917/FINALIZATION_COMPLETE.json,5f64e1c87fd277d2364acfc0774ee8d3b7a0c4879526711a4f321f14128d8c7c,saved evidence/source inventory,435
revision_evidence_20260917/PROSPECTIVE_PROTOCOL.json,031a2879f8fd9b7cd31f87a64a4fe19ee8e1cf12704263c848440e4ba7805cd5,saved evidence/source inventory,4679
revision_evidence_20260917/README.md,1c1f297516ae9d122b8dc5346bfc22073ee7eb015e39591a3171a917c61affbc,saved evidence/source inventory,1748
revision_evidence_20260917/REPRODUCE.md,d86ca849a28af39c49fe57265644c1f7c99f6507781eb8e59567c2e922256b01,saved evidence/source inventory,4406
revision_evidence_20260917/RQ2_MANUSCRIPT_TEXT.md,165e0f0263fd43af6390cdd4822da3d6fed169a0b4132aed99652bf86d291d3e,saved evidence/source inventory,2262
revision_evidence_20260917/data/all_seven_token_lengths.csv,d6d57df5c4e4c99c6478612a22c849ee4d37876dce70dfcf13c2eaf8a93a8306,saved evidence/source inventory,10773271
revision_evidence_20260917/data/baseline_metric_reconciliation.csv,ea8d0fb483bf0c4c5af17442c259ea2d388b2f95455a42f9f96823d49b68fe42,saved evidence/source inventory,3024
revision_evidence_20260917/data/canonical_control_availability.csv,e6de0df8aa038eda0a7f96ed309bffe8380d0435127cde159f625079826db5a0,saved evidence/source inventory,2328
revision_evidence_20260917/data/canonical_inclusion_states.csv,1d7b6708485cb00ec53581371c2fef21c5aeb5685ff84c23ff173c70ef8107ba,saved evidence/source inventory,66260
revision_evidence_20260917/data/canonical_mean_schedule_reference.csv,303f6449109de5257d93cc5d13c659811e37f3654be3921443a0bf903c29e78e,saved evidence/source inventory,78465
revision_evidence_20260917/data/canonical_membership_per_query.csv,5c6fa9c0db958a1f5b4e256c2d52722d3342094aa52809e873df9f584d2cae1e,saved evidence/source inventory,10870730
revision_evidence_20260917/data/canonical_membership_summary.csv,15f2c57a7c8efc1ebc74bc0397910a569de1551120d21655d8dcd402c56802fa,saved evidence/source inventory,175821
revision_evidence_20260917/data/canonical_primary_comparison_table.csv,000065bde4e1184583082dc67cb88cd8be31af46400caa3136ed7a14f1a0f7cd,saved evidence/source inventory,47259
revision_evidence_20260917/data/canonical_raw_transition_reconciliation.csv,e9f3972d7b5a77eebe27abc071eea455036abf5998f756bbd58805fe777589a9,saved evidence/source inventory,630
revision_evidence_20260917/data/canonical_serialization_audit.csv,28a605b07df53216554e3921c3d7234969a6eb0c173830102507fd0d113177a8,saved evidence/source inventory,757
revision_evidence_20260917/data/canonical_sources.json,d905976cbe1441ba631dccf68318469db537fa3e2a9c4bdccb831b7ecbd999e9,saved evidence/source inventory,9140
revision_evidence_20260917/data/embedding_provenance_sources.json,027abd52a9947c0a57a2388ec97191f3d035d320ddaf523eafb40b4389ecb7ea,saved evidence/source inventory,73470
revision_evidence_20260917/data/encoder_profiles_and_rank_sources.csv,40c0e3ced81e5302aa4d0b1ee30cb9f82b7bde72ea2b95efbb7b9036a8d33c3e,saved evidence/source inventory,18469
revision_evidence_20260917/data/evaluation_populations.json,d1c9f8191bf421554602cbce8dbb65b3671feb84cf97375bc5cd6fc5a5650151,saved evidence/source inventory,143488
revision_evidence_20260917/data/figure2_schematic_data.json,087468fab5ea765e7132388578acf68196854c001c57c9d23a2e0ac31d80d5ef,saved evidence/source inventory,1346
revision_evidence_20260917/data/fitting_catalog_counts.csv,a02f7756553dfc9abc8263b292231437bfe7852dded684384d2cff45455a4d55,saved evidence/source inventory,267
revision_evidence_20260917/data/historical_fitting_mask_audit.csv,edbf515f181eec299a2806dbe87e2d4ad93c865f7510611ba85ac329688d55cf,saved evidence/source inventory,137
revision_evidence_20260917/data/inclusion_states_per_query.csv,608d6396200b7d4508e7a6b8c865be8125a3c70fca0839b79e2562820971df62,saved evidence/source inventory,6796862
revision_evidence_20260917/data/inclusion_states_sources.json,1b28109193a5e9898bc9cbaf2369163da32d4475622bdf0c59f98815227fb03d,saved evidence/source inventory,4771
revision_evidence_20260917/data/inclusion_states_summary.csv,c02fbdb54211fcccff1b29ad0cf82e37de726fdbab6ab8ca4c50bc626df570a3,saved evidence/source inventory,83827
revision_evidence_20260917/data/introduction_case_audit.json,b76d4b521bef35a9a57c7bd6a48d0ef0a7c7bab80e939a75343455af2e627bed,saved evidence/source inventory,1630
revision_evidence_20260917/data/membership_changes_per_query.csv,72ca97f49842d946191a1a7834f241fcf296d805cb1037daf90a620b7c99999d,saved evidence/source inventory,48132941
revision_evidence_20260917/data/membership_changes_sources.json,5dddfc799b2069064839e0d399a06cc194733e9afbdf02d790475ff57bfc45ea,saved evidence/source inventory,25187
revision_evidence_20260917/data/membership_changes_summary.csv,9d77fe569ad7a369250cec9040e51e2d3bd0ddff18fadf1098f3adbdf892a9a2,saved evidence/source inventory,873107
revision_evidence_20260917/data/membership_integrity.csv,ee4209b58fa9839539a0c892b13fcd65fd78d952e8dcaf7561eaafd7f3009b9b,saved evidence/source inventory,372
revision_evidence_20260917/data/posthoc_fully_fitting_illustrative_case.json,97ade52828aed67af149a8478a89a897d94ddfda1e6dd2c946a947f14ba49d94,saved evidence/source inventory,1851
revision_evidence_20260917/data/rq1_target_fully_fitting_plot_data.csv,769d2fa29dc0ca8efcebb043c2208e1792914ab7d965cdaa860e6e3006961ccd,saved evidence/source inventory,10801
revision_evidence_20260917/data/rq2_all_contrast_ranges.csv,7e6ee87620ebf2bf02a348e523f0b5220e33cdbad0dcf32c0e1f1152f5da9de2,saved evidence/source inventory,1651
revision_evidence_20260917/data/rq2_cancellation_companion.csv,045c6d7c00a672b562e410abb137efaf8e2ba68b416664be2f66b26bd43f69cc,saved evidence/source inventory,10063
revision_evidence_20260917/data/rq2_membership_plot_data.csv,f009e06da4e8e19ee055567faa2e38519ff1d4d585fc3d8a636bfcafd7d137ec,saved evidence/source inventory,61298
revision_evidence_20260917/data/serialization_diversity_summary.csv,3728b7f233700c0f8f993dd85aa2fc805410de150a25a4545038ec3834687f2d,saved evidence/source inventory,207
revision_evidence_20260917/data/serialization_integrity.csv,6a1aeb7e6043e56e7e6d29ddc736087987f7ea18cb1d27f87e70303a6119391e,saved evidence/source inventory,1613393
revision_evidence_20260917/data/target_only_integrity.csv,df59ce7069331df8a4e5e71de99cb4df966a2f25925dfa3f869ef242feceac08,saved evidence/source inventory,667
revision_evidence_20260917/data/target_rank_algorithm_tests.json,f06654519fe1a9eee86e0c7cefa3d08d6c258390e4a8de2786a909a156c304bd,saved evidence/source inventory,5934
revision_evidence_20260917/data/target_rank_precision_differences.csv,afbd74730ce6e582692b1f4237f6eb7031ec6932122a0eafd11a1ce30a3227b5,saved evidence/source inventory,260
revision_evidence_20260917/data/target_rank_reconstruction_audit.csv,c279f4f14aab4dee9b42247b5dc835e15fd6b7871cdf2e20bf5e1a1f72afbee9,saved evidence/source inventory,5095
revision_evidence_20260917/data/tokenization_sources.json,db3929f4998fc0d4b29a5fedbf947bc5d0f2df25f1baa71e99b7439f420d5a23,saved evidence/source inventory,15576
revision_evidence_20260917/experiments/esci_bge_base_field_priority_type_pairs.parquet,2539ea5c3b6ce0c8d5653ac4a45596f2e16eab2680fd5cc91cb0dc84ae822c40,saved evidence/source inventory,199921
revision_evidence_20260917/experiments/esci_bge_base_field_priority_type_source.json,9cb41f909bf7c8e33611d418b1d7de89019ef1465228894ac261d68e5dc74145,saved evidence/source inventory,9461
revision_evidence_20260917/experiments/esci_bge_base_lexical_ascending_source.json,f3f92cbc60372408857b4652b2352bfcaa93a217cbbfb58810995e2c9fc88ca8,saved evidence/source inventory,8912
revision_evidence_20260917/experiments/esci_bge_base_lexical_descending_pairs.parquet,5ac4da4051519227474429c6cf512ea612b6ec3bf7a96b9dcc223d357c8363fd,saved evidence/source inventory,199940
revision_evidence_20260917/experiments/esci_bge_base_lexical_descending_source.json,a893e63ffd9c69e43ffe3505bc3f7a53a33d84d62cf528510cfd95465cf501c2,saved evidence/source inventory,9456
revision_evidence_20260917/experiments/esci_gte_modernbert_field_priority_type_pairs.parquet,bc1e35981295633f80abf87bc1e8a082cce01981d87518fffc2d834e0e33f8e8,saved evidence/source inventory,200503
revision_evidence_20260917/experiments/esci_gte_modernbert_field_priority_type_source.json,f659c0697c2c1c488ccdf8a46f096cbed3fa92336623222a33fbc91957491943,saved evidence/source inventory,8950
revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_ascending_pairs.parquet,07687f0a83b94b74c3c358170de5d4c37304f5fa91720722e21052ad927b701b,saved evidence/source inventory,200458
revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_ascending_source.json,a4fa13b294df67a5d682949521ead0aed1778b002942997a55bec9bf46c84be2,saved evidence/source inventory,8930
revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_descending_pairs.parquet,fff6b997372cfa15470b00d4e1edac14927a722aa119be3e40007eb1bfda4124,saved evidence/source inventory,200440
revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_descending_source.json,81b643f74a282cd9ac785f286fd3ad3aed9756e50e1a4986faa4db0d749d0281,saved evidence/source inventory,8946
revision_evidence_20260917/experiments/esci_minilm_field_priority_type_pairs.parquet,993f974529b5fc512b580b322eff7ee69c064a87c0ba499be933ccb401989bcf,saved evidence/source inventory,200848
revision_evidence_20260917/experiments/esci_minilm_field_priority_type_source.json,47d55ad902cb68f0d381f986488159f7e0efd3b9cbf4a17862b8b5626ad8006a,saved evidence/source inventory,8878
revision_evidence_20260917/experiments/esci_minilm_lexical_ascending_source.json,5df37bd7e33611625217dbeb7d694c78303654b00581835a04a72d0808a57f1b,saved evidence/source inventory,8880
revision_evidence_20260917/experiments/esci_minilm_lexical_descending_pairs.parquet,be059abfe90bc1426e89b8ed49c1686c53d783b7cae421709e212bfb8f0a89a1,saved evidence/source inventory,200856
revision_evidence_20260917/experiments/esci_minilm_lexical_descending_source.json,e898fd1f4fd4b61942c1c7398d7d6e477ee88dff99e434ce88bdebc83ac59fd2,saved evidence/source inventory,8872
