claim_id,manuscript_location,claim,dataset,encoder,intervention,cutoff,schedule_family,queries,pairs,query_support,relevance_definition,weighting,comparator,source_file,source_columns,source_selector,run_id,model_revision,serializer_revision,repository_revision,full_precision_recomputation,manuscript_value,formatted_recomputation,display_scale,display_decimals,status,discrepancy,bootstrap_population,bootstrap_pairing,bootstrap_resamples,bootstrap_seed,ci_low,ci_high,interval,notes,ci_units,resolution
S6-0001,p6 opening,eligible query count,wands,,catalog_wide,,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,data/wands_sampling_audit.csv,eligible,,revision_section6_20260924 (executed 2026-09-25),not applicable / see per-encoder rows,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,308,308,308,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0002,p6 opening,eligible query count,esci,,catalog_wide,,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,data/esci_sampling_audit.csv,eligible,,revision_section6_20260924 (executed 2026-09-25),not applicable / see per-encoder rows,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,499,499,499,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0003,p6 RQ1 paragraphs 1–2,catalog_wide full VI range min,wands,bge_base,catalog_wide,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/catalog_wide/full/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1193180734269661,11.93,11.93,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.1026413145300908,0.1375362894135059,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0004,p6 RQ1 paragraphs 1–2,catalog_wide full VI range max,wands,minilm,catalog_wide,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/catalog_wide/full/K20/minilm,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1957938178951838,19.58,19.58,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.17316557439173741,0.21999178648479359,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0005,p6 RQ1 paragraphs 1–2,catalog_wide full VI range min,esci,bge_base,catalog_wide,20,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/catalog_wide/full/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.036618061695566403,3.66,3.66,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.028397044675824899,0.045904825408586897,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0006,p6 RQ1 paragraphs 1–2,catalog_wide full VI range max,esci,gte_modernbert,catalog_wide,20,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/catalog_wide/full/K20/gte_modernbert,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.069095109862151199,6.91,6.91,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.057857478764512998,0.081082895031497501,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0007,p6 RQ1 paragraphs 1–2,target_only full VI range min,wands,bge_base,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/target_only/full/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1083173463674557,10.83,10.83,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.0929123020246828,0.12547551318148389,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0008,p6 RQ1 paragraphs 1–2,target_only full VI range max,wands,minilm,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/target_only/full/K20/minilm,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.19446508831837639,19.45,19.45,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.17117692686520231,0.21943483597560451,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0009,p6 RQ1 paragraphs 1–2,target_only full VI range min,esci,bge_base,target_only,20,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/target_only/full/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.024236389741890602,2.42,2.42,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.017583465808046501,0.0317870853116244,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0010,p6 RQ1 paragraphs 1–2,target_only full VI range max,esci,gte_modernbert,target_only,20,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/target_only/full/K20/gte_modernbert,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.058833297431182,5.88,5.88,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.048260698162853499,0.070190907720132797,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
