dataset,model,method,schedule,K,comparator,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,raw,C0,20,raw:C0,Recall,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:C0,nDCG,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:C0,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:C0,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:C0,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:seven_mean,Recall,0.013385121669290689,0.0022328377228463033,0.025312792124254205,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:seven_mean,nDCG,0.0041197607832422576,-0.0010424120228766183,0.0093637089770038685,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:seven_mean,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:seven_mean,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,20,raw:seven_mean,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:C0,Recall,-0.013385121669290689,-0.025312792124254212,-0.0022328377228463033,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:C0,nDCG,-0.0041197607832422576,-0.009363708977003872,0.0010424120228766174,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:C0,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:C0,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:C0,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:seven_mean,Recall,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:seven_mean,nDCG,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:seven_mean,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:seven_mean,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,20,raw:seven_mean,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:C0,Recall,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:C0,nDCG,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:C0,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:C0,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:C0,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:seven_mean,Recall,0.012704340101894085,0.0051896117464488092,0.020610667505796279,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:seven_mean,nDCG,0.0074571159342123839,0.0041993827293352343,0.010709984529585315,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:seven_mean,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:seven_mean,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,C0,100,raw:seven_mean,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:C0,Recall,-0.012704340101894085,-0.020610667505796283,-0.0051896117464488092,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:C0,nDCG,-0.0074571159342123839,-0.010709984529585315,-0.0041993827293352343,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:C0,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:C0,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:C0,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:seven_mean,Recall,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:seven_mean,nDCG,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:seven_mean,persistent_inclusion,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:seven_mean,VI,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw,seven_mean,100,raw:seven_mean,persistent_omission,0,0,0,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:C0,Recall,0.050502058253832069,0.034184685831365504,0.068909290721268932,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:C0,nDCG,0.063124496480006648,0.049694092877076219,0.07705234138823655,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:C0,persistent_inclusion,0.085367647042631944,0.064556222698663318,0.1079062250387436,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:C0,VI,-0.058779085259714085,-0.080361653848455353,-0.038523387377535405,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:C0,persistent_omission,-0.026588561782917873,-0.045582116002082104,-0.0090622674910288224,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:seven_mean,Recall,0.063887179923122761,0.044884802521454097,0.084605848976004525,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:seven_mean,nDCG,0.067244257263248924,0.05330396378876618,0.081678438236824538,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:seven_mean,persistent_inclusion,0.085367647042631944,0.064556222698663318,0.1079062250387436,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,raw_hybrid,C0,20,raw:seven_mean,VI,-0.058779085259714085,-0.080361653848455353,-0.038523387377535405,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
