dataset,model,support,K,contrast,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,full,20,16 minus 7,persistent_inclusion,-0.013978546935817845,-0.022757643413924531,-0.0073685425716207139,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,16 minus 7,VI,0.036562722385023713,0.027689784304724355,0.0468255872103144,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,16 minus 7,persistent_omission,-0.022584175449205875,-0.029302253952389144,-0.016608193150346572,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,16 minus 7,persistent_inclusion,-0.027192889167919357,-0.039888319972062568,-0.01692737869915413,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,16 minus 7,VI,0.059392619604702018,0.042732647765584372,0.08037701891070359,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,16 minus 7,persistent_omission,-0.032199730436782675,-0.051054662131796956,-0.019380972847120561,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 16,persistent_inclusion,-0.012436634602057441,-0.021811187621256927,-0.0052351998364962909,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 16,VI,0.035253765774248477,0.025370214079334971,0.046449955521585304,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 16,persistent_omission,-0.022817131172191037,-0.030429116486519501,-0.01661607909293673,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 7,persistent_inclusion,-0.026415181537875282,-0.041525714612049666,-0.015133156265190158,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 7,VI,0.07181648815927219,0.057287653852964679,0.088919572654809736,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,20,32 minus 7,persistent_omission,-0.045401306621396909,-0.055815336170828178,-0.035871630849305142,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 16,persistent_inclusion,-0.022326795843419411,-0.030526431223832494,-0.015210608791607376,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 16,VI,0.049943613779656892,0.037908914055988008,0.063823958782499954,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 16,persistent_omission,-0.027616817936237485,-0.039668663663211791,-0.017803538578406098,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 7,persistent_inclusion,-0.049519685011338771,-0.064807479781846991,-0.036195541724923203,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 7,VI,0.10933623338435892,0.087639800927014608,0.13377394108076071,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,full,100,32 minus 7,persistent_omission,-0.059816548373020161,-0.080984429460349949,-0.042133569617246035,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,16 minus 7,persistent_inclusion,-0.0051663614163614162,-0.011763583638583638,-0.0003720238095238095,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,16 minus 7,VI,0.039836137594289771,0.0093592094424295499,0.088328494799282814,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,16 minus 7,persistent_omission,-0.034669776177928352,-0.083619936260900946,-0.005065699698851873,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,16 minus 7,persistent_inclusion,-0.030737876254180601,-0.059103260869565216,-0.0091032608695652169,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,16 minus 7,VI,0.074381154272458616,0.025082242699430199,0.14023319461838482,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,16 minus 7,persistent_omission,-0.043643278018278019,-0.095065235690235686,-0.0075231481481481477,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 16,persistent_inclusion,-0.0079119375994375993,-0.017746142746142748,-0.0011574074074074073,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 16,VI,0.012646497021497021,0.001736111111111111,0.027057173150923149,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 16,persistent_omission,-0.0047345594220594223,-0.012302223239723241,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 7,persistent_inclusion,-0.013078299015799016,-0.024665149665149669,-0.0039351851851851848,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 7,VI,0.05248263461578679,0.018233787146830622,0.10248400068882405,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,20,32 minus 7,persistent_omission,-0.039404335599987773,-0.088851193216003002,-0.0086658510571554059,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 16,persistent_inclusion,-0.025386650386650389,-0.070831743487993495,-0.0016025641025641027,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 16,VI,0.055216195841195838,0.0084125509906759904,0.11916600471287966,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 16,persistent_omission,-0.029829545454545456,-0.076728219696969677,0,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 7,persistent_inclusion,-0.056124526640830986,-0.11013582394356851,-0.018427978900125649,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 7,VI,0.12959735011365447,0.057297585227272727,0.21447850515275782,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,common_all_fitting,100,32 minus 7,persistent_omission,-0.073472823472823467,-0.1407040080868206,-0.020833333333333332,48,354,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,exhaustive_target minus 7,persistent_inclusion,-0.0012280494710872707,-0.0022767256037676186,-0.00040063707052857763,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,exhaustive_target minus 7,VI,0.003361270291682841,0.0016663694435617592,0.0054717418520023728,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,20,exhaustive_target minus 7,persistent_omission,-0.0021332208205955701,-0.0039840924773289505,-0.00075146505131475127,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,exhaustive_target minus 7,persistent_inclusion,-0.00029689007644919464,-0.00081644771023528539,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,exhaustive_target minus 7,VI,0.00075614191345654261,7.4222519112298661e-05,0.0017442291991390186,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,full,100,exhaustive_target minus 7,persistent_omission,-0.00045925183700734802,-0.001336005344021376,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,persistent_inclusion,-0.00098631239935587762,-0.0020732689210950081,-0.00018115942028985507,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
