dataset,model,intervention,target_support,K,status,schedule_family,catalog_size,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
wands,minilm,target_only,full,20,available,original seven,42994,persistent_inclusion,0.20187569293105329,0.16834748120508974,0.23719126795494366,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,20,available,original seven,42994,VI,0.19446508831837642,0.17117692686520236,0.21943483597560456,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,20,available,original seven,42994,persistent_omission,0.60365921875057038,0.56531655701375727,0.64140595355961028,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,20,available,original seven,42994,source_order_inclusion,0.30808505676265363,0.2710145128159665,0.34671406905840585,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,20,available,original seven,42994,seven_schedule_mean_inclusion,0.28855008729474496,0.25419295540810538,0.32535026620291813,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,100,available,original seven,42994,persistent_inclusion,0.44217280238860179,0.40198802258007166,0.48462816322680341,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,100,available,original seven,42994,VI,0.22454830327952902,0.20152378806904306,0.24814798527555493,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,100,available,original seven,42994,persistent_omission,0.33327889433186914,0.29809654142281766,0.36886575885443879,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,100,available,original seven,42994,source_order_inclusion,0.57883328209245855,0.54044233928638796,0.61687071063964571,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,full,100,available,original seven,42994,seven_schedule_mean_inclusion,0.5566158518634684,0.51861570773697663,0.5947429068542549,308,21299,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,fully_fitting,20,available,original seven,42994,persistent_inclusion,0.18500166163178711,0.1322660417942782,0.2417840701595681,118,925,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,fully_fitting,20,available,original seven,42994,VI,0.10592003260303642,0.070149551821354961,0.14508965856504083,118,925,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,fully_fitting,20,available,original seven,42994,persistent_omission,0.70907830576517639,0.64506860645440423,0.76922525434281153,118,925,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,fully_fitting,20,available,original seven,42994,source_order_inclusion,0.23686423760084802,0.17978181552843989,0.2967442212825675,118,925,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,minilm,target_only,fully_fitting,20,available,original seven,42994,seven_schedule_mean_inclusion,0.23192368721499668,0.17818335435678376,0.28968905583487498,118,925,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
