dataset,method,label,minilm_Recall,minilm_VI,minilm_nDCG,bge_base_Recall,bge_base_VI,bge_base_nDCG
wands,raw,Raw dense (7 mean),0.56612894199056452,0.2189384745151953,0.6323312740348157,0.63620256871136815,0.1230487480542734,0.70078364080382427
wands,lexical_ascending,Canonical: ascending,0.56049066361801037,0,0.62637776197094364,0.63236881413573653,0,0.69805183558293926
wands,lexical_descending,Canonical: descending,0.56161564562059674,0,0.634103564807035,0.6360915509016335,0,0.70233456307986042
wands,field_priority_type,Canonical: type priority,0.57186804808683966,0,0.6312365452822446,0.635647927691668,0,0.70298106236031865
wands,BM25,BM25,0.6323252253791084,0,0.65478806681744361,0.6323252253791084,0,0.65478806681744361
wands,raw_hybrid,Raw hybrid (7 mean),0.65547617362704702,0.11079606182509499,0.69832815300592455,0.6777267663292682,0.070466067747674901,0.72537766043359597
wands,canonical_hybrid_lexical_ascending,Canonical hybrid: ascending,0.65610066145600465,0,0.69598311023475445,0.68152186815497895,0,0.72393252630820015
wands,canonical_hybrid_lexical_descending,Canonical hybrid: descending,0.65287094831803005,0,0.69791661854911868,0.67927943113548672,0,0.72719847748934896
wands,canonical_hybrid_field_priority_type,Canonical hybrid: type priority,0.65709994517276671,0,0.69884190057482976,0.67829953091908357,0,0.72619245825225687
wands,set_mean,Set-Mean,0.58807000328954695,0,0.63657984885959984,0.61820038753668516,0,0.68412282766879806
esci,raw,Raw dense (7 mean),0.8619282922438799,0.014129181977378299,0.60190247946925701,0.91041342421919524,0.0072012176997604998,0.66226129528156763
esci,lexical_ascending,Canonical: ascending,0.8641170055065267,0,0.60154769502741356,0.91045091229409381,0,0.663193879669427
esci,lexical_descending,Canonical: descending,0.86381462752378801,0,0.6008261920019683,0.91012922787205763,0,0.66123075977553325
esci,field_priority_type,Canonical: type priority,0.86357045786579056,0,0.60133122838604658,0.91085556775886944,0,0.66294883963682893
esci,BM25,BM25,0.82831914839620857,0,0.6151040799492089,0.82831914839620857,0,0.6151040799492089
esci,raw_hybrid,Raw hybrid (7 mean),0.89567018491709982,0.0055944542542738004,0.64042712338077024,0.91610105534486597,0.0074471068279336004,0.66895080099808868
esci,canonical_hybrid_lexical_ascending,Canonical hybrid: ascending,0.89506701526332877,0,0.63923917786677398,0.91554417155941359,0,0.67095437168976724
esci,canonical_hybrid_lexical_descending,Canonical hybrid: descending,0.89655825300206171,0,0.64049860555586546,0.91551674175993958,0,0.6689919136885818
esci,canonical_hybrid_field_priority_type,Canonical hybrid: type priority,0.89541619847824361,0,0.63917237585196696,0.91569832602218515,0,0.67090620174178428
esci,set_mean,Set-Mean,0.84501565975632476,0,0.58868191935419933,0.88950363834090174,0,0.63706095159450915
