dataset,model,method,schedule,reference,K,queries,pairs,changed_queries,equal_positive_queries,equal_positive_share_all,equal_positive_share_changed,bootstrap_seed,bootstrap_resamples,interval,gain_share,gain_share_ci_low,gain_share_ci_high,loss_share,loss_share_ci_low,loss_share_ci_high,turnover,turnover_ci_low,turnover_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high,delta_ndcg,delta_ndcg_ci_low,delta_ndcg_ci_high,changed_abs_ndcg_q0.0,changed_abs_ndcg_q0.25,changed_abs_ndcg_q0.5,changed_abs_ndcg_q0.75,changed_abs_ndcg_q0.9,changed_abs_ndcg_q0.95,changed_abs_ndcg_q1.0,changed_abs_ndcg_mean
wands,minilm,raw,C1,source C0,20,308,21299,211,57,0.18506493506493507,0.27014218009478674,2026091701,10000,95% unadjusted paired query-cluster percentile,0.039593686766324708,0.031930079110389531,0.048237546159647642,0.065596596746553465,0.05020585743516541,0.08343659685096326,0.10519028351287817,0.087893829387691191,0.12441774299155388,-0.026002909980228757,-0.045572800623502628,-0.0081352755258496771,-0.011008706062999765,-0.019960614027901429,-0.0021274645118255103,0,0.011384979572306692,0.03988462031667217,0.079171197527429099,0.14995447935456879,0.19141325261572353,0.44493700051535451,0.058982855993165419
wands,minilm,raw,C1,source C0,100,308,21299,199,21,0.068181818181818177,0.10552763819095477,2026091701,10000,95% unadjusted paired query-cluster percentile,0.039351437871859678,0.032927153378420525,0.046424148879282146,0.063595115845056338,0.051034633101452398,0.078243485959468922,0.10294655371691602,0.088762028504933158,0.11905320451108471,-0.024243677973196657,-0.040193221199929061,-0.0097843338046198439,-0.016472177832580884,-0.022401565738180213,-0.010695424037235324,1.1102230246251565e-16,0.015542778115627154,0.033935203295200833,0.059442401845033355,0.09863530421815396,0.12010771295354415,0.22353417911431311,0.043269769467734316
wands,minilm,raw,C2s1,source C0,20,308,21299,207,52,0.16883116883116883,0.25120772946859904,2026091701,10000,95% unadjusted paired query-cluster percentile,0.038289590832860231,0.03013491874403277,0.048428671176861032,0.047780008257721718,0.036470109087640486,0.061339629158273026,0.086069599090581941,0.071741093128449424,0.10232548343426624,-0.0094904174248614855,-0.025810314069676838,0.0059827371777163981,-0.0062031954979060314,-0.013934587045773234,0.0013536048385471827,0,0.013890958891425054,0.033437491384713303,0.063425425860528156,0.12808730025663306,0.15829367237326711,0.23403884054007718,0.048913318037248667
wands,minilm,raw,C2s1,source C0,100,308,21299,193,32,0.1038961038961039,0.16580310880829016,2026091701,10000,95% unadjusted paired query-cluster percentile,0.036414688984431058,0.030825212529121581,0.042635897713978001,0.048051577066160936,0.039067830354316546,0.058491758453927643,0.084466266050591987,0.073215355040852304,0.096756380163270581,-0.011636888081729883,-0.023047326859882106,-0.0012308124746366372,-0.0085833215611773126,-0.01265065028295375,-0.0046493780040002645,0,0.0099479363413086941,0.022283392527274001,0.036927836295408301,0.062574798118266495,0.080017907753753281,0.1050286055287184,0.027510169213643566
wands,minilm,raw,C2s2,source C0,20,308,21299,198,60,0.19480519480519481,0.30303030303030304,2026091701,10000,95% unadjusted paired query-cluster percentile,0.035474523013197798,0.028087967383499071,0.04504301692914834,0.0468629925757948,0.035895957941257779,0.05965962630587171,0.082337515588992605,0.06828480143036407,0.097955620845930333,-0.011388469562597009,-0.026417217583717088,0.0029638981914426503,-0.0013774084043127819,-0.0086914802059926046,0.005909663035159613,0,0.012433568989516613,0.037147270708765112,0.080105496582084157,0.11423010647792819,0.16477023812229155,0.24726478306414684,0.053107582920954008
wands,minilm,raw,C2s2,source C0,100,308,21299,196,30,0.097402597402597407,0.15306122448979592,2026091701,10000,95% unadjusted paired query-cluster percentile,0.039167038755839823,0.033205621064914849,0.045689384774408794,0.051384628187502855,0.042421138767325367,0.061374754859588612,0.090551666943342685,0.079193734242298017,0.10269596872119312,-0.01221758943166304,-0.023308885137722966,-0.0016058999891434532,-0.0068160335918142877,-0.010733526337890568,-0.0028371083133800902,2.2204460492503131e-16,0.0091578612670401571,0.022515038741426463,0.040581247638141082,0.058309912467208125,0.075980281586726012,0.12826646219194027,0.028292103969029637
wands,minilm,raw,C2s3,source C0,20,308,21299,195,59,0.19155844155844157,0.30256410256410254,2026091701,10000,95% unadjusted paired query-cluster percentile,0.032043635765832572,0.02607141383265461,0.038921171577880005,0.056671518416979087,0.041416556410949962,0.073668152142679369,0.088715154182811645,0.071719691176379122,0.10744033177739822,-0.024627882651146505,-0.042631070660127758,-0.0086769377704407104,-0.0058049874002208124,-0.012888135605647737,0.00094003550954522544,0,0.0096276162157792333,0.033029007255959253,0.064259744554181569,0.11246727849478129,0.14787127955525312,0.3788816867417733,0.046635874463689587
wands,minilm,raw,C2s3,source C0,100,308,21299,193,22,0.071428571428571425,0.11398963730569948,2026091701,10000,95% unadjusted paired query-cluster percentile,0.04050821782674658,0.033952002921643028,0.047804574568042206,0.05421726370103342,0.042502958397943623,0.068125935539527227,0.094725481527779987,0.080561909708904797,0.1105873569002484,-0.013709045874286833,-0.028881931017705659,-0.00026256830699363009,-0.0065169504662505786,-0.010360892678347874,-0.0026501513383305419,0,0.0090840223319521296,0.022209672485875687,0.037325586251808929,0.05703058055847976,0.070965546231935003,0.14860231461254636,0.027523109891955045
wands,minilm,raw,C2s4,source C0,20,308,21299,196,64,0.20779220779220781,0.32653061224489793,2026091701,10000,95% unadjusted paired query-cluster percentile,0.038171485975396206,0.028527701111820639,0.050067156878897179,0.048466046325193884,0.036584123649519344,0.062490374845474463,0.08663753230059007,0.070597725070615305,0.10433595476048042,-0.010294560349797668,-0.027601011037972412,0.0062616887178265218,-0.0029480760254783434,-0.010514142931214962,0.0045184747936126328,0,0.0085772517181693861,0.033462784969070847,0.065035105172030927,0.10374677393676546,0.15660992859351289,0.32814888405330889,0.048691267162964569
wands,minilm,raw,C2s4,source C0,100,308,21299,193,39,0.12662337662337661,0.20207253886010362,2026091701,10000,95% unadjusted paired query-cluster percentile,0.037915032071903602,0.031992376946451601,0.044350129910801596,0.045779834704213117,0.038929740391089304,0.052947592649827915,0.083694866776116733,0.073462242538534714,0.094023887530394742,-0.0078648026323095196,-0.016109817448224536,0.00055148613989778141,-0.0071735804700246552,-0.011299677033195536,-0.003173683548639299,0,0.0087531310142652252,0.023450525416810919,0.043139218160600623,0.063644167350199676,0.075569231815597937,0.11759178149038363,0.029115547335425707
