dataset,model,family,rule,K,reference_state,control_state,estimate,ci_low,ci_high,queries,pairs,weighting
wands,minilm,dense,lexical_ascending,20,persistent_inclusion,included,0.20718356724079665,0.17360279306689932,0.24261800746847037,308,21299,query_macro
wands,minilm,dense,lexical_ascending,20,persistent_inclusion,omitted,0.0023190235491176011,0.0013631397219552143,0.003453725169330298,308,21299,query_macro
wands,minilm,dense,lexical_ascending,20,crossing,included,0.075730540930427248,0.062089661269866661,0.091276871098592977,308,21299,query_macro
wands,minilm,dense,lexical_ascending,20,crossing,omitted,0.12006327696475666,0.10263976542453451,0.13926615690415306,308,21299,query_macro
wands,minilm,dense,lexical_ascending,20,persistent_omission,included,0.0043127764224780343,0.0029652190561007142,0.0058687229594660785,308,21299,query_macro
wands,minilm,dense,lexical_ascending,20,persistent_omission,omitted,0.59039081489242384,0.55185540842452674,0.62770176398678401,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,persistent_inclusion,included,0.44822626270568244,0.40794227692203094,0.4910709143001844,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,persistent_inclusion,omitted,0.003284590889692999,0.0023194440714501756,0.0043734586369959978,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,crossing,included,0.10856470273701245,0.094542802440159251,0.12424423091916963,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,crossing,omitted,0.11037377177818294,0.095832685844543242,0.12582098693625049,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,persistent_omission,included,0.0036996981753155572,0.0022301162141968654,0.0058150928282405881,308,21299,query_macro
wands,minilm,dense,lexical_ascending,100,persistent_omission,omitted,0.32585097371411365,0.2913530089873636,0.36136390874939456,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,persistent_inclusion,included,0.20530117676751156,0.17153208122154878,0.24064814733125986,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,persistent_inclusion,omitted,0.0042014140224026844,0.0023509847293078576,0.0066908456767149236,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,crossing,included,0.084257438348807223,0.068669830446345517,0.10199034186922969,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,crossing,omitted,0.11153637954637666,0.09548577129002013,0.12914072280617825,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,persistent_omission,included,0.0060014881528457102,0.0039435360734151933,0.0086568842162790694,308,21299,query_macro
wands,minilm,dense,lexical_descending,20,persistent_omission,omitted,0.58870210316205618,0.55020801409038578,0.62606863771076438,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,persistent_inclusion,included,0.44630316027205896,0.40555007220999906,0.48916825125279978,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,persistent_inclusion,omitted,0.0052076933233163739,0.00327514276687606,0.0079706903687712469,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,crossing,included,0.10932938158000563,0.093873448647029886,0.12606656599201158,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,crossing,omitted,0.10960909293518976,0.096104513807271141,0.12413478671113268,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,persistent_omission,included,0.0059831037685320002,0.003720703091927036,0.0088644861616123186,308,21299,query_macro
wands,minilm,dense,lexical_descending,100,persistent_omission,omitted,0.32356756812089715,0.28916777281948319,0.35903805581671883,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,persistent_inclusion,included,0.20316925771462427,0.1698400046807744,0.23765901901223699,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,persistent_inclusion,omitted,0.0063333330752899627,0.0020723663917306379,0.013855810225667045,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,crossing,included,0.083303532133573846,0.068593143560011297,0.10013340158416215,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,crossing,omitted,0.11249028576161008,0.09580541385267774,0.13076158486039377,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,persistent_omission,included,0.005736670024039452,0.0031775294289661912,0.0096183756000971978,308,21299,query_macro
wands,minilm,dense,field_priority_type,20,persistent_omission,omitted,0.58896692129086237,0.55073694641025595,0.62633277717713021,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,persistent_inclusion,included,0.44825311682691948,0.40800376905696562,0.49085350070732031,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,persistent_inclusion,omitted,0.0032577367684559332,0.0022776375496543666,0.0043588641093898614,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,crossing,included,0.11526122304621564,0.10063492204150788,0.1312237142177666,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,crossing,omitted,0.10367725146897976,0.08948187431441651,0.11868468942946019,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,persistent_omission,included,0.0083537082137046144,0.0037933015024450116,0.016170382015794096,308,21299,query_macro
wands,minilm,dense,field_priority_type,100,persistent_omission,omitted,0.32119696367572453,0.28674199455944754,0.35629008982690535,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,persistent_inclusion,included,0.29273095029612839,0.25489559253523469,0.33238974989909914,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,persistent_inclusion,omitted,0.0021392875364177745,0.00094281611567344204,0.0037242583797733953,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,crossing,included,0.067743499674860638,0.054708006027876156,0.08269850205173726,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,crossing,omitted,0.069271232960609178,0.059112018291084402,0.080713322027849949,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,persistent_omission,included,0.0041615908361467106,0.0016558619876710407,0.0081519870988830557,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,20,persistent_omission,omitted,0.56395343869583725,0.52459002388637188,0.60201137992652298,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,persistent_inclusion,included,0.60020090258943037,0.55892430438601226,0.6407015689886042,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,persistent_inclusion,omitted,0.0013856089189452109,0.0008379517236855456,0.0020153044971520473,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,crossing,included,0.053494338308778991,0.043753581849599224,0.064365240161687889,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,crossing,omitted,0.057301723516316037,0.048352440529470443,0.067089235990660287,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,persistent_omission,included,0.0024054205577952697,0.0015075529057657995,0.0036630402816538996,308,21299,query_macro
wands,minilm,hybrid,lexical_ascending,100,persistent_omission,omitted,0.28521200610873415,0.25109125535769927,0.3200314640855586,308,21299,query_macro
wands,minilm,hybrid,lexical_descending,20,persistent_inclusion,included,0.29213123789794931,0.25447665659755569,0.33171877431125091,308,21299,query_macro
wands,minilm,hybrid,lexical_descending,20,persistent_inclusion,omitted,0.0027389999345968706,0.0016320239636459805,0.0041154960663645412,308,21299,query_macro
wands,minilm,hybrid,lexical_descending,20,crossing,included,0.064761611676818723,0.052663507347644065,0.078905078809124771,308,21299,query_macro
